From	Protein names	Gene Names	Subcellular location	Transmembrane
Q8RWP0	NAD(P)-binding Rossmann-fold superfamily protein (Uncharacterized protein At3g20790)	At3g20790 AT3G20790	Cell_membrane	
Q9ZVC3	At2g41380 (Putative embryo-abundant protein) (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein)	At2g41380 AT2G41380 F13H10.7 F13H10_7	Chloroplast	
C0LGR3	LRR receptor-like serine/threonine-protein kinase RGI3 (EC 2.7.11.1) (Protein RECEPTOR OF RGF1 1) (Protein RGF1 INSENSITIVE 3)	RGI3 RGFR1 RGFR3 At4g26540 M3E9.30	Cell membrane; Single-pass type I membrane protein.	"TRANSMEM 704..724; /note=""Helical""; /evidence=""ECO:0000255"""
P56764	DNA-directed RNA polymerase subunit beta'' (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta'') (RNA polymerase subunit beta'')	rpoC2 AtCg00170	Plastid, chloroplast.	
Q9LTX5	Alpha/beta-Hydrolases superfamily protein (Similarity to alpha/beta hydrolase)	At5g49950 AT5G49950 K9P8.9 K9P8_9	Unknown	"TRANSMEM 21..45; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 504..527; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
O65896	Cytidine deaminase 1 (At-CDA1) (EC 3.5.4.5)	CDA1 CDD DESZ At2g19570 F3P11	Nucleus	
Q9ZST4	Nitrogen regulatory protein P-II homolog (Protein PII-like)	GLB1 GLNB1 At4g01900 T7B11.16	Plastid, chloroplast.	
O49597	High mobility group B protein 5 (High mobility group protein D) (AtHMGdelta) (HMG delta) (Nucleosome/chromatin assembly factor group D 05) (Nucleosome/chromatin assembly factor group D 5)	HMGB5 HMGD HMGDELTA NFD05 NFD5 At4g35570 F8D20.80	Nucleus. Displays a highly dynamic speckle distribution pattern in interphase chromatin.	
Q9FG54	At5g54370 (Late embryogenesis abundant (LEA) protein-like protein) (Root cap protein 2-like protein)	MDK4.20 MDK4_20 At5g54370 AT5G54370	Extracellular	
O81042	3-oxo-5-alpha-steroid 4-dehydrogenase (DUF1295) (At2g46890) (Uncharacterized protein At2g46890)	At2g46890 AT2G46890 F14M4.28	Membrane; Multi-pass membrane protein.	"TRANSMEM 7..29; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 49..70; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 77..93; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 150..177; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 183..204; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 265..282; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
A0A1P8B4S3	Histone acetyltransferase subunit NuA4-domain protein	At4g14385 AT4G14385	Nucleus	
A0A1P8BBP4	Ran-binding protein in the microtubule-organising centre protein	MUD21.5 MUD21_5 At5g66810 AT5G66810	Nucleus	
Q0WPT7	Uncharacterized methyltransferase At2g41040, chloroplastic (EC 2.1.1.-)	At2g41040 T3K9.19	Plastid, chloroplast, plastoglobule.	
Q9FY54	Probable sucrose-phosphate synthase 2 (EC 2.4.1.14) (Protein KAONASHI 2) (Sucrose-phosphate synthase 2F) (AtSPS2F) (Sucrose-phosphate synthase 5.2) (AtSPS5.2) (UDP-glucose-fructose-phosphate glucosyltransferase)	SPS2 KNS2 SPS1 SPSA2 At5g11110 T5K6.100	Nucleus	
Q9SI54	Sm-like protein LSM7 (AtLSM7) (Protein EMBRYO DEFECTIVE 2816) (U6 snRNA-associated Sm-like protein LSM7)	LSM7 EMB2816 At2g03870	Cytoplasm. Nucleus.	
Q9SHJ3	Callose synthase 7 (EC 2.4.1.34) (1,3-beta-glucan synthase) (Protein GLUCAN SYNTHASE-LIKE 7)	CALS7 GSL7 At1g06490 F12K11.17	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 505..525; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 536..556; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 570..590; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 621..641; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 674..694; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 731..751; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1497..1517; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1548..1568; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1577..1597; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1641..1661; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1668..1688; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1743..1763; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1772..1792; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1813..1833; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1836..1856; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1879..1899; /note=""Helical""; /evidence=""ECO:0000255"""
Q9C7Y2	Multiple organellar RNA editing factor 5, chloroplastic/mitochondrial (RNA editing-interacting protein 5)	MORF5 RIP5 At1g32580 T9G5.3	Mitochondrion. Plastid, chloroplast. Dual targeting to mitochondria and chloroplasts.	
Q9LTL8	Cytochrome P450 71B24 (EC 1.14.-.-)	CYP71B24 At3g26230 MTC11.14	Membrane; Single-pass membrane protein.	"TRANSMEM 1..21; /note=""Helical""; /evidence=""ECO:0000255"""
Q8L850	Phosphatidylinositol 4-phosphate 5-kinase 9 (AtPIP5K9) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 9) (Diphosphoinositide kinase 9) (PtdIns(4)P-5-kinase 9)	PIP5K9 At3g09920 F8A24.2	Membrane; Peripheral membrane protein. Nucleus.	
Q9FKM8	Similarity to disease resistance protein (Toll-Interleukin-Resistance (TIR) domain family protein)	At5g38344 AT5G38344	Chloroplast	"TRANSMEM 6..28; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q570Y6	Actin-depolymerizing factor 8 (ADF-8) (AtADF8)	ADF8 At4g00680 F6N23.12	Cytoplasm, cytoskeleton.	
Q9C9Q5	Arabinosyltransferase RRA2 (EC 2.4.2.-) (Protein REDUCED RESIDUAL ARABINOSE 1)	RRA2 At1g75110 F9E10.4	Golgi apparatus membrane; Single-pass type II membrane protein.	"TRANSMEM 16..36; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q9FL59	FT-interacting protein 1	FTIP1 At5g06850 MOJ9.2	Endoplasmic reticulum membrane; Multi-pass membrane protein. Cell junction, plasmodesma. Localized in plasmodesmata between companion cells and sieve elements.	"TRANSMEM 510..532; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 595..615; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 619..639; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 737..757; /note=""Helical""; /evidence=""ECO:0000255"""
Q8RUX8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	AT2G44525	Membrane. Mitochondrion inner membrane. Nucleus.	
Q9SYI9	AT4g01920/T7B11_18 (Cysteine/Histidine-rich C1 domain family protein) (Putative CHP-rich zinc finger protein)	At4g01920 AT4G01920 T7B11.18 T7B11_18	Unknown	
Q8L8W6	60S ribosomal protein L39-2	RPL39B At3g02190 F14P3.16 F1C9.36	Unknown	
Q9LME7	RNA-binding (RRM/RBD/RNP motifs) family protein (T16E15.6 protein)	AT1G22330 T16E15.6 T16E15_6	Unknown	
Q949W8	Xylulose kinase 2 (Atxk-2) (Xylulokinase 2) (EC 2.7.1.17) (1-Deoxy-D-Xylulokinase) (DXK)	XK2 XK-2 At5g49650 MNI5.3	Cytoplasm.	
Q8H126	Selenoprotein O	AT5G13040 AT5G13030 T19L5.1	Unknown	
Q9FF98	MD-2-related lipid-recognition protein 3	ML3 UQI3 At5g23820 MRO11.14	Vacuole. Endoplasmic reticulum. Localized in endoplasmic reticulum bodies (ER bodies).	
Q6NLX7	At4g36660 (Polyol transporter, putative (DUF1195))	AP22.12 AP22_12 At4g36660 AT4G36660	Nucleus	"TRANSMEM 41..62; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
A0A178VAM2	Sodium hydrogen exchanger 4	NHX4 ATNHX4 sodium hydrogen exchanger 4 AT3G06370 F24P17.16 F24P17_16	Unknown	"TRANSMEM 20..43; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 55..72; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 84..101; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 113..132; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 218..240; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 274..292; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 304..322; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 342..366; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 386..405; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 417..437; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9M123	DNA-directed RNA polymerase III subunit	At4g01590 AT4G01590 T15B16.1 T15B16_1	Nucleus.	
A8MR49	Ribosomal protein L31e family protein	MIK19.16 MIK19_16 At5g56710 AT5G56710	Cytoplasm	
O81832	G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290 (EC 2.7.11.1)	At4g27290 M4I22.100	Extracellular	
Q9FI10	CASP-like protein 1B1 (AtCASPL1B1)	At5g44550 MFC16.23	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 18..38; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 70..90; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 107..127; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 157..177; /note=""Helical""; /evidence=""ECO:0000255"""
A0A178V841	RING/FYVE/PHD-type zinc finger family protein	At3g52100 AT3G52100	Nucleus	
Q9SDA2	Plant calmodulin-binding protein-like protein (Uncharacterized protein At5g07820) (Uncharacterized protein F13G24.20)	At5g07820 AT5G07820 F13G24.20 F13G24_20	Unknown	
Q9LM88	At1g20670 (DNA-binding bromodomain-containing protein) (F2D10.15)	At1g20670 AT1G20670 F2D10.15 F2D10_15	Nucleus	
Q9MA83	Receptor-like protein 30 (AtRLP30)	RLP30 At3g05360 T12H1.33	Cell membrane; Single-pass type I membrane protein.	"TRANSMEM 740..760; /note=""Helical""; /evidence=""ECO:0000255"""
F4K465	Nucleoporin-like protein	At5g20200 AT5G20200 F5O24.90 F5O24_90	Nucleus	
A0A1P8BE24	Disease resistance protein (CC-NBS-LRR class) family	MUD21.16 MUD21_16 At5g66900 AT5G66900	Nucleus	
P57758	Cystinosin homolog	At5g40670 MNF13.23	Lysosome membrane; Multi-pass membrane protein.	"TRANSMEM 14..34; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 93..113; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 123..143; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 148..168; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 180..200; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 223..243; /note=""Helical""; /evidence=""ECO:0000255"""
Q8GYM3	AUGMIN subunit 4	AUG4 At1g50710 F17J6.23 F4M15.6	Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, phragmoplast. Preferentially localizes to microtubules minus ends.	
Q9FNG3	Protein RISC-INTERACTING CLEARING 3'-5' EXORIBONUCLEASE 2 (EC 3.1.13.1) (DnaQ-like 3'-5' exonuclease domain-containing protein) (AtDECP)	RICE2 DECP At5g06450 MHF15.3	Cytoplasm.	
Q9C6T1	Phosphomevalonate kinase, peroxisomal (EC 2.7.4.2) (5-phosphomevalonate kinase) (AtPMK)	PMK At1g31910 F5M6.9	Peroxisome.	
O49596	High mobility group B protein 2 (High mobility group protein B 1) (AtHMGbeta1) (HMG beta 1) (Nucleosome/chromatin assembly factor group D 02) (Nucleosome/chromatin assembly factor group D 2)	HMGB2 HMGB1 HMGBETA1 NFD02 NFD2 At1g20693 F2D10.18	Nucleus. Cytoplasm, cytosol.	
F4K1B1	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 homolog (EC 3.1.3.16) (RNA polymerase II-associated protein 2 homolog)	At5g26760 F2P16.20	Nucleus.	
Q9C7I8	Acyl-acyl carrier protein thioesterase ATL2, chloroplastic (EC 3.1.2.-) (Acyl-ACP thioesterase ATL2) (Acyl-lipid thioesterase 2)	ALT2 At1g35250 T9I1.4	Plastid, chloroplast.	
Q9LQK9	Putative isocitrate dehydrogenase [NAD] subunit-like 4 (IDH-IV) (Isocitric dehydrogenase-like protein 4) (NAD(+)-specific ICDH 4)	IDH4 At1g32480 F5D14.26	Cytoplasm	
Q93VM8	Copper transporter 5 (AtCOPT5)	COPT5 At5g20650 T1M15.50	Membrane; Multi-pass membrane protein.	"TRANSMEM 24..44; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 101..121; /note=""Helical""; /evidence=""ECO:0000255"""
Q9LYZ7	E3 ubiquitin-protein ligase UPL4 (Ubiquitin-protein ligase 4) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase UPL4)	UPL4 KLI5 At5g02880 F9G14_190	Cytoplasm, Nucleus	
Q84WV4	Protein transport protein SEC23 A (AtSEC23A) (Protein transport protein SEC23/SEC24-like 2) (AtSec23/Sec24L2)	SEC23A At4g01810 T7B11.7	Cytoplasmic vesicle, COPII-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side. Membrane; Peripheral membrane protein; Cytoplasmic side. Observed at endoplasmic reticulum exit sites (ERESs), characteristic for COPII-coated vesicles localization.	
Q8GS18	At4g31350 (Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein) (Glycosyltransferase)	At4g31350 AT4G31350 F8F16.170 F8F16_170	Membrane; Single-pass type II membrane protein.	"TRANSMEM 12..33; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q92764	Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5) (Keratin-35) (K35)	KRT35 HHA5 HKA5 KRTHA5	Unknown	
O24610	Condensin-2 complex subunit CAP-D3 (Protein CHROMOSOME-ASSOCIATED POLYPEPTIDE D-3) (AtCap-D3)	CAP-D3 At4g15890 Dl3985W FCAALL.407 G14587-6	Nucleus. Chromosome. Observed throughout euchromatic nucleoplasm (PubMed:23929493, PubMed:27385818). Associates with the chromosomes throughout meiosis (PubMed:25065716).	
O24603	Endochitinase CHI (EC 3.2.1.14)	CHI LSC222 At2g43570 F18O19.32	Extracellular	
Q0WVU7	DNAJ heat shock N-terminal domain-containing protein (Uncharacterized protein At1g65280)	At1g65280 AT1G65280 T8F5.5 T8F5_5	Nucleus	
P42758	Dehydrin Xero 2 (Low-temperature-induced protein LTI30)	XERO2 LTI30 At3g50970 F24M12.10	Unknown	
Q9LMM1	Cytochrome P450 86A4 (EC 1.14.14.1)	CYP86A4 At1g01600 F22L4.14	Membrane; Single-pass membrane protein.	"TRANSMEM 6..23; /note=""Helical""; /evidence=""ECO:0000255"""
A0A1P8AMK2	Cellulose synthase-like A10	CSLA10 ATCSLA10 CELLULOSE SYNTHASE LIKE A10 cellulose synthase-like A10 At1g24070 AT1G24070 T23E23.23 T23E23_23	Golgi_body	"TRANSMEM 69..94; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q8GYG8	Ferredoxin-like protein (Uncharacterized protein At1g02180/T6A9_2)	At1g02180/T6A9_2 AT1G02180 T6A9.14	Unknown	
A0A1P8B2B9	DNA polymerase epsilon catalytic subunit (EC 2.7.7.7)	TIL2 POL2B TILTED 2 At2g27120 AT2G27120 T20P8.17 T20P8_17	Nucleus.	
Q94A16	Peptidyl-prolyl cis-trans isomerase CYP21-3, mitochondrial (PPIase CYP21-3) (EC 5.2.1.8) (Cyclophilin of 21 kDa 3) (Rotamase CYP21-3)	CYP21-3 At2g47320 T8I13.16	Mitochondrion.	
Q9ZVU2	Cysteine/Histidine-rich C1 domain family protein (T5A14.16 protein)	EDA11 At1g55420 AT1G55420 T5A14.16 T5A14_16	Extracellular	
Q9M0V5	At4g05400 (Copper ion binding protein) (Uncharacterized protein At4g05400)	At4g05400 AT4G05400 C6L9.80 C6L9_80	Chloroplast	
Q8GW16	UPF0496 protein At5g66675	At5g66675 MSN2.6	Membrane; Multi-pass membrane protein.	"TRANSMEM 240..260; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 263..283; /note=""Helical""; /evidence=""ECO:0000255"""
Q9C6K9	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.1 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-1.1)	LRK10L-1.1 LRK10L4 At1g25390 F2J7.14	Cell membrane; Single-pass type I membrane protein.	"TRANSMEM 226..246; /note=""Helical""; /evidence=""ECO:0000255"""
O80662	Glutathione S-transferase TCHQD (EC 2.5.1.18) (Protein tetrachlorohydroquinone dehalogenase-homolog)	TCHQD At1g77290 T14N5.14	Cell membrane.	
P25691	Keratin, type II microfibrillar, component 5		Unknown	
O80492	Probable protein phosphatase 2C 5 (AtPP2C05) (EC 3.1.3.16)	At1g09160 T12M4.15	Chloroplast	
Q8VYI1	Sphinganine C4-monooxygenase 1 (EC 1.14.18.5) (Sphingoid C4-hydroxylase 1) (Sphingoid base hydroxylase 1)	SBH1 At1g69640 F24J1.22 T6C23.16	Endoplasmic reticulum membrane; Multi-pass membrane protein.	"TRANSMEM 11..31; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 55..75; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 92..112; /note=""Helical""; /evidence=""ECO:0000255"""
A0A1P8B0S6	DUF642 domain-containing protein	At2g34510 AT2G34510 T31E10.15 T31E10_15	Unknown	
O04147	Cyclic phosphodiesterase (CPDase) (EC 3.1.4.37)	At4g18930 F13C5.100 F13C5_100	Cytoplasm.	
Q9SJM7	Uridine nucleosidase 1 (EC 3.2.2.3) (Adenosine nucleosidase) (EC 3.2.2.7) (Inosine nucleosidase) (EC 3.2.2.2) (Nucleoside hydrolase 1) (Uridine ribohydrolase 1) (Xanthosine nucleosidase) (EC 3.2.2.-)	URH1 NSH1 At2g36310 F2H17.8	Cytoplasm.	
Q9CAA4	Transcription factor BIM2 (BES1-interacting Myc-like protein 2) (Basic helix-loop-helix protein 102) (AtbHLH102) (bHLH 102) (Transcription factor EN 125) (bHLH transcription factor bHLH102)	BIM2 BHLH102 EN125 At1g69010 T6L1.19	Nucleus.	
Q9SU71	Protein EDS1B (Enhanced disease susceptibility 1 protein B)	EDS1B EDS1-80 EDS1L At3g48080 T17F15.50	Nucleus. Cytoplasm. Found in both the nucleus and diffuse in the cytosol when associated with PAD4 and only in the nucleus when associated with SAG101.	
Q6NKQ6	At3g16220 (Eukaryotic LigT)	AT3G16220	Unknown	
O22164	Expressed protein (Replicase polyprotein 1ab protein) (Uncharacterized protein unannotated coding sequence from BAC T13E15)	AT2G44870 T13E15.12	Unknown	"TRANSMEM 125..144; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 150..170; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q8VYC8	E3 ubiquitin protein ligase RIN2 (EC 2.3.2.27) (AMF receptor-like protein 1A) (RING-type E3 ubiquitin transferase RIN2) (RPM1-interacting protein 2)	RIN2 AMFR-1A At4g25230 F24A6.70	Membrane; Multi-pass membrane protein.	"TRANSMEM 6..26; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 58..78; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 111..131; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 161..181; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 186..206; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 272..292; /note=""Helical""; /evidence=""ECO:0000255"""
Q8VZC3	Delta-1-pyrroline-5-carboxylate dehydrogenase 12A1, mitochondrial (AtP5CDH) (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 12 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)	ALDH12A1 P5CDH At5g62530 K19B1.14	Mitochondrion matrix.	
Q9FIU5	Calcium/calmodulin-regulated receptor-like kinase 1 (AtCRLK1) (EC 2.7.11.1)	CRLK1 At5g54590 MRB17.9	Cell membrane; Single-pass membrane protein. Endosome membrane; Single-pass membrane protein.	"TRANSMEM 8..28; /note=""Helical""; /evidence=""ECO:0000255"""
F4IRM4	Protein PHOX1 (Protein MADB1) (Putative myosin adapter B1)	PHOX1 MADB1 At2g25290 T22F11.12	Cytoplasmic vesicle membrane; Peripheral membrane protein.	
Q940N7	AT4g05150/C17L7_70 (Octicosapeptide/Phox/Bem1p family protein)	At4g05150 AT4G05150 C17L7.70 C17L7_70	Nucleus	
Q6PUA2	Transcription initiation factor TFIID subunit 1b (TAFII250-B) (TBP-associated factor 1b) (AtTAF1b) (Transcription initiation factor TFIID subunit 1-B)	TAF1B HAF2 At3g19040 K13E13.15 K13E13_16	Nucleus.	
Q9M1I7	Regulatory protein NPR6 (BTB/POZ domain-containing protein NPR6) (Protein BLADE-ON-PETIOLE 1)	NPR6 BOP1 At3g57130 F24I3.210	Cytoplasm. Nucleus.	
Q9C6K5	Sm-like protein LSM3B (AtLSM3B) (U6 snRNA-associated Sm-like protein LSM3B)	LSM3B At1g76860 F7O12.3	Cytoplasm. Nucleus.	
A0A1P8AWN0	Membrane trafficking VPS53 family protein	At1g50970 AT1G50970 F8A12.19 F8A12_19	Endosome membrane; Peripheral membrane protein. Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein. Membrane; Peripheral membrane protein.	
Q9LZW3	U-box domain-containing protein 16 (EC 2.3.2.27) (Plant U-box protein 16) (RING-type E3 ubiquitin transferase PUB16)	PUB16 At5g01830 T20L15_100	Cytoplasm	
Q9SS94	Cell division control protein 48 homolog C (AtCDC48c) (Protein EMBRYO DEFECTIVE 1354)	CDC48C EMB1354 At3g01610 F4P13.15	Nucleus. Cytoplasm, cytoskeleton, phragmoplast. Primarily localized to the nucleus and, during cytokinesis, to the phragmoplast, a site where membrane vesicles are targeted in the deposition of new cell wall materials.	
Q0WSZ6	Protein NRT1/ PTR FAMILY 5.13 (AtNPF5.13) (Nitrate transporter 1.16)	NPF5.13 NRT1.16 At1g72125 F28P5.2	Membrane; Multi-pass membrane protein.	"TRANSMEM 78..98; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 104..124; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 133..153; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 183..203; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 211..231; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 324..344; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 361..381; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 405..425; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 447..467; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 486..506; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 530..550; /note=""Helical""; /evidence=""ECO:0000255"""
Q8W1P0	COP9 signalosome complex subunit 6b (AtCSN6b) (Signalosome subunit 6b)	CSN6B At4g26430 M3E9.140	Cytoplasm. Nucleus.	
Q940I8	At4g16100 (Heat shock protein, putative (DUF789)) (Uncharacterized protein Z97340.18)	Z97340.18 DL4090W At4g16100 AT4G16100 FCAALL.70	Nucleus	
Q9ZPR1	Cell division control protein 48 homolog B (AtCDC48b)	CDC48B At2g03670 F19B11.12	Nucleus. Cytoplasm, cytoskeleton, phragmoplast. Primarily localized to the nucleus and, during cytokinesis, to the phragmoplast, a site where membrane vesicles are targeted in the deposition of new cell wall materials.	
Q9FI40	BAHD acyltransferase At5g47980 (EC 2.3.1.-)	BAHD1 At5g47980 MDN11.1	Chloroplast	
Q9LYY8	AT5g02970/F9G14_280 (Alpha/beta-Hydrolases superfamily protein) (Uncharacterized protein F9G14_280)	At5g02970 AT5G02970 F9G14.280 F9G14_280	Cytoplasm	
F4I854	Protein kinase superfamily protein	At1g57700 AT1G57700 T8L23.17 T8L23_17	Nucleus	
P43255	COP9 signalosome complex subunit 8 (CSN complex subunit 8) (Constitutive photomorphogenesis protein 9) (Protein FUSCA 7)	CSN8 COP9 FUS7 At4g14110 dl3095c	Cytoplasm. Nucleus.	
Q9XGN1	Protein TRANSPARENT TESTA GLABRA 1	TTG1 At5g24520 K18P6_4 T31K7.8	Cytoplasm.	
B5X0N4	Alpha/beta-Hydrolases superfamily protein (At4g33180)	AT4G33190 At4g33180 AT4G33180 F4I10.110 F4I10_110	Mitochondrion, Chloroplast	
Q84K35	Pseudouridine-5'-phosphate glycosidase (PsiMP glycosidase) (EC 4.2.1.70) (Pseudouridine monophosphate glycosidase)	PUMY At1g50510 F11F12.14	Peroxisome.	
Q9LUV4	FRIGIDA-like protein 4a	FRL4A At3g22440 MCB17.20	Nucleus	
Q8GYT1	OBP33pep like protein (Putative OBP33pep protein) (tRNA/rRNA methyltransferase (SpoU) family protein)	DL3800W At4g15520/dl3800w AT4G15520 FCAALL.322	Unknown	
Q9FYA6	Branched-chain-amino-acid aminotransferase 5, chloroplastic (Atbcat-5) (EC 2.6.1.42)	BCAT5 At5g65780 F6H11.110 MPA24.13	Plastid, chloroplast.	
Q93WK6	DNA polymerase epsilon catalytic subunit A (Uncharacterized protein At1g19530)	At1g19530 AT1G19530 F18O14.29 F18O14_29	Nucleus	
Q93XX5	PI-PLC X domain-containing protein At5g67130	At5g67130 K21H1.9	Cell membrane; Lipid-anchor, GPI-anchor.	
Q9SJT0	Probable receptor-like protein kinase At2g21480 (EC 2.7.11.-)	At2g21480 F3K23.24	Membrane; Single-pass type I membrane protein.	"TRANSMEM 440..460; /note=""Helical""; /evidence=""ECO:0000255"""
Q9LJK1	Glycoprotein 3-alpha-L-fucosyltransferase A (EC 2.4.1.214) (Core alpha-(1,3)-fucosyltransferase) (Fuc-T C3) (FucT1) (FucTA) (Fucosyltransferase 11) (AtFUT11)	FUT11 At3g19280 MVI11.20	Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein. Membrane-bound form in trans cisternae of Golgi.	"TRANSMEM 40..60; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q9SI61	Amidophosphoribosyltransferase 1, chloroplastic (AtATase1) (PRPP1) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase 1) (AtGPRAT1)	ASE1 GPRAT1 At2g16570 F1P15	Plastid, chloroplast stroma.	
F4J4G2	PAP/OAS1 substrate-binding domain superfamily	At3g51620 AT3G51620 T18N14.7	Nucleus	
Q5YDB6	RNA polymerase II C-terminal domain phosphatase-like 1 (FCP-like 1) (EC 3.1.3.16) (Carboxyl-terminal phosphatase-like 1) (AtCPL1) (CTD phosphatase-like 1) (Protein FIERY 2) (Protein JASMONATE OVEREXPRESSING 1) (Protein SHINY 4)	CPL1 FRY2 JOE1 SHI4 At4g21670 F17L22.130	Nucleus. Nucleus speckle.	
