Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohC C) / (WT C)	Abundance Ratio (log2): (rbohC C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohC C) / (WT C)	Abundance Ratio P-Value: (rbohC C) / (WT C)	Abundances (Grouped): rbohC C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
A0A1P8AT95	A0A1P8AT95	p-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g16800 PE=1 SV=1	10.391	23	7	7	2.84	1.51	0.0154626954759362	0.00231145314441505	34278014.6022131	12071327.1120977	12.57	25.86	34278014.6022131	36587064.6735258	28506060.7070565	12071327.1120977	7789045.38009828	13182854.5674689	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	Peak Found	High	High	10
F4K5K3	ath:AT5G20580; F4K5K3	TMEM192 family protein OS=Arabidopsis thaliana OX=3702 GN=At5g20580 PE=1 SV=1	17.346	36	5	4	6.903	2.79	0.0156898651969938	0.00235966247327912	719953.631227979	104297.843457294	32.43	104.92	452183.926836794	896274.195566574	719953.631227979	104297.843457294	90621.9202951428	546353.860456659	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Not Found	Not Found	High	High	High	High	Peak Found	High	Peak Found	High	Peak Found	9
Q0WRF4	ath:AT5G14140; Q0WRF4	Nucleic acid binding / zinc ion binding protein OS=Arabidopsis thaliana OX=3702 GN=MUA22.14 PE=1 SV=1	15.569	25	6	6	0.313	-1.68	0.0157061966163152	0.00236527231810379	5048553.10333797	16154566.4539668	11.53	22.36	5048553.10333797	4794081.65471863	5948936.67280431	16154566.4539668	18229937.3274352	11542559.8616365	High	High	High	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	8
A0A1P8B183	A0A1P8B183	Calcium-binding EF hand family protein OS=Arabidopsis thaliana OX=3702 GN=TCH3 PE=1 SV=1	32.2	66	5	5	0.194	-2.37	0.0158018144406294	0.00238125831789415	1286910.29680557	6648417.03428549	105.57	69.33	3378027.69658946		490267.77184103	6648417.03428549	5575502.0410326	18291226.174325	Peak Found	Not Found	Peak Found	High	High	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	11
Q9FWW5	ath:AT1G12150; Q9FWW5	WEB family protein At1g12150 OS=Arabidopsis thaliana OX=3702 GN=At1g12150 PE=2 SV=1	9.295	35	3	3	0.119	-3.07	0.0163910516362182	0.00247663598338521	380597.687161633	3201684.12489303	95.02	30.19	244517.313629067	380597.687161633	1438523.90132817	3018841.46151724	3201684.12489303	5072166.51776514	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	High	7
F4ISN0	ath:AT2G25730; F4ISN0	Zinc finger FYVE domain protein OS=Arabidopsis thaliana OX=3702 GN=At2g25730 PE=1 SV=1	379.702	1735	77	77	2.197	1.14	0.0164916770904953	0.00249266802467152	217291970.052585	98920025.3034658	6.15	9.97	197574428.369561	222255820.375167	217291970.052585	111778075.07718	91954450.7348311	98920025.3034658	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q945K9	ath:AT4G34150; Q945K9	AT4g34150/F28A23_90 OS=Arabidopsis thaliana OX=3702 GN=At4g34150 PE=1 SV=1	18.145	73	6	6	0.197	-2.34	0.0165912094348813	0.0025093777434515	1033250.1404941	5236622.56076276	29.59	29.79	688991.890644983	1278029.10026527	1033250.1404941	6809679.22043466	3685780.69936456	5236622.56076276	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	High	High	High	High	High	High	Peak Found	High	Peak Found	Peak Found	High	11
Q8RX22	ath:AT1G32530; Q8RX22; Q9C7Y6; Q9LQK4	MND1-interacting protein 1 OS=Arabidopsis thaliana OX=3702 GN=MIP1 PE=1 SV=1	18.496	94	6	2	0.234	-2.09	0.0169577739450367	0.00256737343598368	1864568.25572152	7951610.03731051	35.23	25.59	1864568.25572152	2661770.06087038	1299986.30678874	7951610.03731051	10688473.6151923	6466573.4590035	High	Peak Found	High	High	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	9
Q8RY12	ath:AT5G20600; Q8RY12	AT5g20600/F7C8_190 OS=Arabidopsis thaliana OX=3702 GN=At5g20600 PE=1 SV=1	112.563	642	19	19	2.263	1.18	0.0177773291026338	0.00269769920572571	118155769.436831	52213025.4580716	1.22	26.9	120498520.528765	117833172.96567	118155769.436831	63438332.8287143	52213025.4580716	36318668.8558116	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SIU0	ath:AT2G13560; Q9SIU0	NAD-dependent malic enzyme 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=NAD-ME1 PE=1 SV=1	44.183	131	13	13	3.506	1.81	0.0183461471312658	0.00279322645696145	17845645.1588995	5090325.8008338	32.91	18.61	17845645.1588995	9298768.8382881	17846939.0236343	3946686.62999353	5763024.88177501	5090325.8008338	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	17
Q39141	ath:AT2G34420; Q39141	Chlorophyll a-b binding protein, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=Lhb1B2 PE=1 SV=1	20.949	100	5	2	3.505	1.81	0.0184316595429116	0.00281087202908314	15765821.4731478	4498222.59228088	16.98	18.69	15765821.4731478	14147677.7444861	19605470.5367498	4210100.02995763	5911491.81292884	4498222.59228088	Peak Found	Peak Found	High	High	High	High	High	Peak Found	High	High	High	High	Peak Found	High	High	High	Peak Found	High	13
Q96291	ath:AT3G11630; P92938; Q8L5U1; Q96291; Q9S7Y0	2-Cys peroxiredoxin BAS1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BAS1 PE=1 SV=2	45.804	188	8	8	3.292	1.72	0.0190333856877592	0.00290741391736615	19825396.5032991	6021391.62674218	7.34	19.72	20999933.2427307	19825396.5032991	18131622.8681362	5972146.80427999	8307139.87799741	6021391.62674218	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	17
Q9LF41	ath:AT5G15400; Q9LF41	Probable ubiquitin conjugation factor E4 OS=Arabidopsis thaliana OX=3702 GN=PUB1 PE=2 SV=1	44.988	225	14	14	0.428	-1.23	0.0197195841768606	0.00301718249942629	30444979.7771886	71191699.425913	9.47	13.75	32375513.7262784	30444979.7771886	26802238.333955	71191699.425913	77962773.1768004	59114385.9533779	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8LCV1	ath:AT5G66410; Q8LCV1; Q9FJZ8	Thioredoxin domain-containing protein PLP3B OS=Arabidopsis thaliana OX=3702 GN=PLP3B PE=2 SV=1	41.826	108	8	7	2.801	1.49	0.0203198583832625	0.00311922729461456	24395677.51491	8708536.95184699	6.94	32.7	24395677.51491	23466070.3194076	26813499.9633725	8708536.95184699	12465452.7572277	6499315.68538387	High	High	High	High	High	Peak Found	High	High	High	High	Peak Found	High	High	High	Peak Found	High	Peak Found	High	14
Q9ZW33	ath:AT2G29530; Q9ZW33	Mitochondrial import inner membrane translocase subunit TIM10 OS=Arabidopsis thaliana OX=3702 GN=TIM10 PE=1 SV=1	28.859	114	6	6	0.307	-1.7	0.0204337323386092	0.00313978488471878	3694109.66038195	12031789.7017898	62.89	11.04	7054418.50516121	1846557.62078473	3694109.66038195	13044281.7466813	12031789.7017898	10449352.5973857	High	Peak Found	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	High	14
P35614	ath:AT3G26618; P35614	Eukaryotic peptide chain release factor subunit 1-3 OS=Arabidopsis thaliana OX=3702 GN=ERF1-3 PE=1 SV=1	100.596	613	16	4	0.227	-2.14	0.0207688950622042	0.00319337009063458	1778771.77015665	7849533.6421008	41.1	36.62	2513004.95110179	1778771.77015665	1049604.44620181	3954723.80053196	8586011.82920659	7849533.6421008	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q6NKQ6	Q6NKQ6	At3g16220 OS=Arabidopsis thaliana OX=3702 GN=At3g16220 PE=1 SV=1	14.042	38	5	5	3.601	1.85	0.0212546797296749	0.00327659863710816	12130257.5257164	3368137.78753912	75.74	64.47	3808220.33995979	23764339.0866705	12130257.5257164	3368137.78753912	2200081.40185631	7567975.1196896	Peak Found	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	High	High	High	Peak Found	High	11
A0A2P2CLF3	A0A2P2CLF3	Ribosomal protein S3 OS=Arabidopsis thaliana OX=3702 GN=rps3 PE=3 SV=2	205.504	1164	26	25	1.856	0.89	0.02128344043119	0.00328316914035676	627961316.8134	338431994.377664	17.66	81.03	492191834.432582	627961316.8134	704257665.81504	338431994.377664	282255907.174613	1125991439.87747	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O80925	ath:AT2G37550; O80925	ADP-ribosylation factor GTPase-activating protein AGD7 OS=Arabidopsis thaliana OX=3702 GN=AGD7 PE=1 SV=1	31.508	107	6	5	0.322	-1.63	0.0213908828092162	0.00330102802804433	4324294.94432974	13427690.5701025	44.37	18.14	7237334.3014141	4324294.94432974	3024693.65885283	13427690.5701025	15485814.720132	10709308.7472797	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	High	High	High	High	High	Peak Found	High	11
Q6DST1	ath:AT1G64065; Q6DST1; Q9SH57	Late embryogenesis abundant protein At1g64065 OS=Arabidopsis thaliana OX=3702 GN=At1g64065 PE=2 SV=1	18.6	40	5	5	4.54	2.18	0.0220457805606852	0.00340740717566135	8110323.80344471	1786589.74454096	50.47	37.49	3292258.94402286	8110323.80344471	10550436.5428986	2740649.55301084	1786589.74454096	1308187.27251482	Peak Found	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	8
Q1EBV6	ath:AT5G21010; Q1EBV6; Q8LFW4; Q94B33	BTB/POZ and MATH domain-containing protein 5 OS=Arabidopsis thaliana OX=3702 GN=BPM5 PE=1 SV=1	9.275	22	6	6	5.642	2.5	0.022228670060389	0.00343790635289687	4534381.02416713	803687.013743164	13.1	44.72	3722253.54467571	4823877.55751347	4534381.02416713	734145.235533529	1568707.20161077	803687.013743164	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	High	8
F4K2Y3	ath:AT5G36210; F4K2Y3	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MAB16.20 PE=1 SV=1	29.221	71	8	8	0.393	-1.35	0.0224507700898209	0.00347338353580784	12845067.0911356	32724807.164296	12.9	43.51	11250592.8004798	12845067.0911356	14574210.5558676	23246354.6660631	32724807.164296	54494256.0282695	Peak Found	High	High	Peak Found	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	13
Q8GUQ8	ath:AT4G34890; Q8GUQ8; Q9SW46	Xanthine dehydrogenase 1 OS=Arabidopsis thaliana OX=3702 GN=XDH1 PE=1 SV=1	31.091	66	10	5	0.363	-1.46	0.02253619973136	0.00348773172891836	7236705.72671387	19932878.7670234	20.09	25.48	7236705.72671387	5085910.64366165	7510690.74122781	19932878.7670234	15998933.5794723	26492010.4077696	High	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	High	High	High	10
Q94AD1	ath:AT1G48610; Q94AD1	Putative DNA-binding protein At1g48610 OS=Arabidopsis thaliana OX=3702 GN=At1g48610 PE=1 SV=1	114.125	390	13	13	0.395	-1.34	0.0227143744193417	0.0035175867217343	13141861.7042495	33306147.455257	86.62	76.15	33141678.8587906	13141861.7042495	4541052.0763914	58086949.5828248	33306147.455257	7756254.72178757	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4KG14	ath:AT5G46070; F4KG14	Guanylate-binding family protein OS=Arabidopsis thaliana OX=3702 GN=MCL19.12 PE=1 SV=1	295.842	1321	44	44	1.877	0.91	0.0231349949180336	0.00358737007689403	328766106.519987	175114388.958779	4.3	13.38	331512065.405446	328766106.519987	306277187.08763	175114388.958779	168532219.814086	214574071.194406	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P14713	ath:AT2G18790; P14713; Q6S4P0	Phytochrome B OS=Arabidopsis thaliana OX=3702 GN=PHYB PE=1 SV=1	55.451	129	14	9	0.314	-1.67	0.0233086847288259	0.00362249324433739	4726475.19103006	15029274.7840374	32.52	17.19	3885522.07323459	7179674.15132802	4726475.19103006	11668488.6700308	15029274.7840374	16495439.5801445	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	11
Q9C9U9	ath:AT1G73620; Q9C9U9	Pathogenesis-related thaumatin superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g73620 PE=1 SV=1	79.027	440	8	7	2.248	1.17	0.0244009413094328	0.00381184324857964	85779872.471439	38151076.8317656	55.12	33.54	40791953.2291672	137872633.916402	85779872.471439	24356405.0358075	49311981.8486487	38151076.8317656	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8B591	A0A1P8B591	Disease resistance protein (TIR-NBS-LRR class) family OS=Arabidopsis thaliana OX=3702 GN=At4g23510 PE=1 SV=1	82.376	267	24	24	2.569	1.36	0.0244932344157174	0.00382872004269585	52802830.2059366	20551490.4337521	14.11	7.09	44924266.177942	52802830.2059366	59719468.0915377	22883156.2383427	20551490.4337521	20077630.0945876	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q0WML0	ath:AT5G39040; Q0WML0; Q8RY45; Q9FID4	ABC transporter B family member 27 OS=Arabidopsis thaliana OX=3702 GN=ABCB27 PE=1 SV=1	113.4	481	19	18	0.439	-1.19	0.0245048654187659	0.00383176827365372	18768661.874891	42710496.0219725	27.84	24.75	17003129.4127603	28026400.29201	18768661.874891	42710496.0219725	30287959.5340471	50480421.696155	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q6NQ66	ath:AT2G46750; O81031; Q0WNK2; Q6NQ66	L-gulonolactone oxidase 2 OS=Arabidopsis thaliana OX=3702 GN=GULLO2 PE=1 SV=1	52.711	79	11	8	0.328	-1.61	0.0249089731033953	0.00389620803123236	3581204.42048845	10916825.8450818	85.11	34.75	12748636.7629668	2973871.22461583	3581204.42048845	16024589.9695023	10916825.8450818	8025900.40061656	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	6
Q9SSP5	ath:AT1G72810; Q9SSP5	Threonine synthase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TS2 PE=1 SV=1	59.925	157	10	9	0.342	-1.55	0.0257970128077105	0.00403899819021381	5313339.68220487	15515366.8560854	34.2	13.64	5313339.68220487	2890989.62112493	5947848.73349635	15515366.8560854	18529007.2081857	14256750.4975185	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	17
Q9SZR6	ath:AT4G29960; Q9SZR6	Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At4g29960 PE=1 SV=1	21.215	38	2	2	7.819	2.97	0.0262345937339929	0.00411014341869342	2607646.53264458	333515.522085264	18.69	21.19		2978495.12621558	2282971.82001873	466558.170644332	324770.890568813	333515.522085264	High	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	High	High	High	High	12
Q9FF15	ath:AT5G07770; Q9FF15	Formin-like protein 16 OS=Arabidopsis thaliana OX=3702 GN=FH16 PE=3 SV=2	16.406	43	6	6	3.544	1.83	0.0265913486333918	0.00417804935608235	12629446.9627705	3563918.2784677	9.53	15.45	12815275.713973	12629446.9627705	10737837.9784709	3563918.2784677	3467592.58472205	4544707.09784591	High	High	High	High	Peak Found	High	High	High	High	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	12
P29513	ath:AT1G20010; P29513	Tubulin beta-5 chain OS=Arabidopsis thaliana OX=3702 GN=TUBB5 PE=2 SV=1	365.194	3009	28	7	0.484	-1.05	0.0269859969463598	0.00424575166749519	56718175.0477664	117152711.648044	30.66	24.25	58620497.6118361	31696701.7758605	56718175.0477664	117152711.648044	83120916.2834914	137025414.205429	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4I576	F4I576	Monodehydroascorbate reductase 6 OS=Arabidopsis thaliana OX=3702 GN=MDAR6 PE=1 SV=1	152.55	738	19	19	2.129	1.09	0.0271470794835636	0.00427626802968839	124617750.220501	58522224.2427672	1.39	25.87	126874499.325603	123451731.188905	124617750.220501	52331830.1008788	84034992.1807121	58522224.2427672	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O82811	ath:AT1G08090; O82811	High-affinity nitrate transporter 2.1 OS=Arabidopsis thaliana OX=3702 GN=NRT2.1 PE=1 SV=1	82.761	286	10	10	0.463	-1.11	0.0276604977546077	0.00435991983080508	42137226.1998133	90974308.7407318	29.29	47.65	65493912.0941743	39365747.1652652	42137226.1998133	129903719.16139	90974308.7407318	45405930.9875941	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O82568	ath:AT3G25585; O82568	Choline/ethanolaminephosphotransferase 2 OS=Arabidopsis thaliana OX=3702 GN=AAPT2 PE=1 SV=1	72.702	220	9	6	2.146	1.1	0.0277900654672965	0.00438313265891499	102284140.915791	47669298.0505518	12.19	14.37	84446359.6743001	102284140.915791	107116448.300278	45575724.6750564	47669298.0505518	59134167.0971323	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	17
Q9FIJ0	ath:AT5G47910; O81212; Q9FIJ0	Respiratory burst oxidase homolog protein D OS=Arabidopsis thaliana OX=3702 GN=RBOHD PE=1 SV=1	215.867	997	34	29	2.166	1.12	0.0279764555944732	0.00441674378016255	102365493.789177	47254590.3915992	17.67	22.5	129650282.110223	102365493.789177	92788276.2721856	47254590.3915992	38198742.889695	59904003.5966062	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q949P3	ath:AT2G17340; Q7XJS9; Q8LCJ8; Q949P3	Damage-control phosphatase At2g17340 OS=Arabidopsis thaliana OX=3702 GN=At2g17340 PE=1 SV=1	14.938	13	3	3	5.836	2.54	0.0281007309917435	0.00443918480151684	4115357.42847031	705173.684935642		63.45	4115357.42847031			435040.244772374	1143043.50436797		High	Not Found	Not Found	Not Found	Not Found	Not Found	Peak Found	Peak Found	High	Not Found	Not Found	Not Found	Peak Found	High	Not Found	High	High	High	6
F4K4E3	ath:AT5G27720; F4K4E3; Q8LAC6; Q8RWJ9	Sm-like protein LSM4 OS=Arabidopsis thaliana OX=3702 GN=LSM4 PE=1 SV=1	43.107	189	6	6	0.46	-1.12	0.0282161834285379	0.00446167249635532	42589071.1152311	92512027.7822486	17.43	19.79	42589071.1152311	36458449.7067689	51543969.1589897	65510556.1798807	92512027.7822486	96238540.2439717	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SRM4	ath:AT3G11200; Q9SRM4	PHD finger protein ALFIN-LIKE 2 OS=Arabidopsis thaliana OX=3702 GN=AL2 PE=1 SV=1	35.943	127	5	4	2.624	1.39	0.0284276116685942	0.00449930060256087	55196361.1266739	21034591.6687682	17.63	28.66	55196361.1266739	44595420.4889172	63789987.8944849	21034591.6687682	27585244.3559768	15368837.4142318	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	17
Q9ZUW8	ath:AT2G27660; Q9ZUW8	Cysteine/Histidine-rich C1 domain family protein OS=Arabidopsis thaliana OX=3702 GN=At2g27660 PE=1 SV=1	17.969	131	4	4	4.103	2.04	0.0287610130583541	0.00455359847327186	10238669.1327749	2495648.22865121	11.71	42.43	12225910.5995921	10238669.1327749	9882494.69597605	1795186.7049805	4112729.13926521	2495648.22865121	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	16
Q9FT97	ath:AT5G08380; Q8RWB9; Q9FT97	Alpha-galactosidase 1 OS=Arabidopsis thaliana OX=3702 GN=AGAL1 PE=2 SV=1	7.48	24	3	3	0.184	-2.44	0.0291200663152698	0.00461190749584239	863607.848997697	4691953.32614537	115.43	65.33	5481769.02466772	705797.023681572	863607.848997697	2589235.92810344	4691953.32614537	9834542.31460882	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	6
O22151	ath:AT2G45200; F4IW37; O22151; Q2HIF8	Golgi SNAP receptor complex member 1-2 OS=Arabidopsis thaliana OX=3702 GN=GOS12 PE=1 SV=2	60.736	282	9	9	0.432	-1.21	0.029214755955294	0.00463451826475292	15491312.429757	35882087.9318072	16.82	21.48	15822657.1500717	11509132.8761904	15491312.429757	35882087.9318072	29311846.6256792	45024539.6001244	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P57720	ath:AT1G48850; P57720; Q570J9; Q93ZI3	Chorismate synthase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=EMB1144 PE=2 SV=2	58.643	266	10	10	0.395	-1.34	0.029214755955294	0.0046357032063995	12579558.6330627	31833663.1374882	11.77	7.2	11673774.0455128	12579558.6330627	14651901.1434674	29437680.4309331	34009855.651134	31833663.1374882	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8AZV7	A0A1P8AZV7	CASP-like protein OS=Arabidopsis thaliana OX=3702 GN=CASP-like protein 4A3 PE=1 SV=1	20.396	49	4	4	2.963	1.57	0.0292237012607664	0.00464005657787281	20649124.0702242	6969241.98764204	17.11	46.47	17238361.0081972	20649124.0702242	24334001.0576091	6969241.98764204	5807092.99976851	13316863.1563665	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	10
O80852	A8MR26; ath:AT2G30860; C0Z2R9; O23626; O80852	Glutathione S-transferase F9 OS=Arabidopsis thaliana OX=3702 GN=GSTF9 PE=1 SV=1	117.984	508	8	7	0.521	-0.94	0.029570600614106	0.00470107384894702	80856200.5676041	155324970.586102	29.63	22.74	115073642.41991	64657692.1275148	80856200.5676041	155324970.586102	181957741.797998	114064766.920366	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8LG70	ath:AT3G49360; Q8LG70; Q9SG13	Probable 6-phosphogluconolactonase 2 OS=Arabidopsis thaliana OX=3702 GN=PGL2 PE=2 SV=2	47.405	196	9	8	0.375	-1.41	0.0298289778507174	0.00474514486265365	10483281.4515267	27947595.7962001	29.55	93.62	13911430.5267648	10483281.4515267	7613538.76936745	20277313.5023528	27947595.7962001	108646943.270046	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O22164	ath:AT2G44870; O22164; Q94JY2	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g44870 PE=1 SV=2	14.024	45	4	4	0.221	-2.18	0.0299896166724845	0.0047737098774383	1125257.89742692	5086557.69156698	33.17	6.08	667197.079157345	1348259.30641326	1125257.89742692	4642110.61188459	5086557.69156698	5221264.9528668	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	High	Peak Found	High	High	High	High	Peak Found	10
Q9M1Q0	ath:AT3G62240; Q9M1Q0	RING-type E3 ubiquitin transferase OS=Arabidopsis thaliana OX=3702 GN=T17J13.200 PE=1 SV=1	36.551	97	9	8	0.554	-0.85	0.0300798142670783	0.00478957737338348	190170768.6927	343045368.271692	15.32	26.02	190170768.6927	206855064.757707	152144136.046782	361900469.500025	343045368.271692	215224300.098816	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	High	16
Q05085	ath:AT1G12110; B9DHE6; Q05085	Protein NRT1/ PTR FAMILY 6.3 OS=Arabidopsis thaliana OX=3702 GN=NPF6.3 PE=1 SV=1	178.179	797	17	17	2.004	1	0.0301536468688554	0.00480284732266845	168684492.011615	84164482.389408	19.98	32.33	168684492.011615	119242647.004361	176057580.155758	131692256.200619	73087768.2175008	84164482.389408	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8BEK7	A0A1P8BEK7	RING-H2 group F2A OS=Arabidopsis thaliana OX=3702 GN=RHF2A PE=1 SV=1	11.281	26	3	3	3.858	1.95	0.0306351494100994	0.00489030546278379	10810172.6497958	2802194.42032499	25.01	36.02	7394264.75493466	10810172.6497958	12382799.7606933	2033015.1286679	4167278.31418131	2802194.42032499	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	High	Peak Found	High	High	High	7
Q39117	ath:AT1G76890; O48592; Q39117; Q8LBM5	Trihelix transcription factor GT-2 OS=Arabidopsis thaliana OX=3702 GN=GT-2 PE=1 SV=1	22.241	57	6	5	3.504	1.81	0.0308021124171844	0.00492005028419662	10963868.877856	3129130.59882606	23.46	6.01	11941567.5317519	10963868.877856	7431722.20294238	3371656.13752409	2996678.70405077	3129130.59882606	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	10
Q9LX15	ath:AT5G10130; Q9LX15	Protein DOWNSTREAM OF FLC OS=Arabidopsis thaliana OX=3702 GN=DFC PE=2 SV=1	24.784	75	4	4	3.173	1.67	0.030875508441329	0.00493332379743738	18408458.6767734	5800717.84014934	44.58	46.54	18408458.6767734	33750983.8484083	15017393.8504306	11088545.4313754	5800717.84014934	4828161.25244533	High	High	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	High	Peak Found	High	High	High	Peak Found	High	High	12
