Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (rbohC C)	Abundance Ratio (log2): (rbohF C) / (rbohC C)	Abundance Ratio Adj. P-Value: (rbohF C) / (rbohC C)	Abundance Ratio P-Value: (rbohF C) / (rbohC C)	Abundances (Grouped): rbohC C	Abundances (Grouped): rbohF C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
P94014	ath:AT1G09560; F4I108; O80538; P94014; P94097	Germin-like protein subfamily 2 member 1 OS=Arabidopsis thaliana OX=3702 GN=GLP4 PE=2 SV=2	39.443	320	6	3	1.849	0.89	0.0011762907325943	0.000131773334035801	245607204.269263	454208413.412469	6.2	54.33	231417393.405056	245607204.269263	261936188.513858	223378039.606047	733787985.344245	454208413.412469	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O23593	ath:AT4G17520; O23593; Q8LB56	RGG repeats nuclear RNA binding protein B OS=Arabidopsis thaliana OX=3702 GN=RGGB PE=1 SV=1	138.118	512	17	14	2.499	1.32	0.00119071919703399	0.000133449357153426	35839297.1581824	89575572.2446894	54.27	22.11	76043780.3143594	28875685.4478867	35839297.1581824	94699767.6023729	61132298.2042722	89575572.2446894	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q39211	ath:AT2G15430; Q39211	DNA-directed RNA polymerases II, IV and V subunit 3 OS=Arabidopsis thaliana OX=3702 GN=NRPB3 PE=1 SV=1	81.723	360	11	11	0.361	-1.47	0.0012445315998385	0.000139854636200587	27815281.586342	10040270.798663	10.98	63.24	27815281.586342	32759083.5768983	26773893.2428596	10040270.798663	8063575.84960869	24520817.8891739	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SII6	ath:AT2G17220; F4IMG9; Q6QJ33; Q6QJ34; Q8LEZ7; Q93W33; Q9SII6	Probable serine/threonine-protein kinase PIX13 OS=Arabidopsis thaliana OX=3702 GN=PIX13 PE=1 SV=2	30.454	194	6	4	0.1	-3.32	0.00130882337125265	0.00014734185212939	2386479.41018502	239617.621318306	31.61	69.99	2386479.41018502	2980511.16446167	1534040.55271886	412222.900333409	139285.334220404		High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Not Found	High	High	High	Peak Found	Peak Found	High	High	High	High	11
O22164	ath:AT2G44870; O22164; Q94JY2	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g44870 PE=1 SV=2	14.024	45	4	4	6.601	2.72	0.00131762792168853	0.000148531161138665	1125257.89742692	7427402.91352118	33.17	38.6	667197.079157345	1348259.30641326	1125257.89742692	4472877.29710714	10144668.4964993	7427402.91352118	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	High	Peak Found	High	High	High	High	Peak Found	10
Q9SZV3	ath:AT4G30000; F4JPH1; Q9SZV3	Folate synthesis bifunctional protein, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MitHPPK/DHPS PE=2 SV=1	12.045	53	6	5	0.178	-2.49	0.00133398470206028	0.000150441861542561	6289812.30769351	1120702.79290086	21.98	19.06	5414023.95452155	6289812.30769351	8269939.43516004	1526177.70496984	1105986.70169948	1120702.79290086	Peak Found	High	Peak Found	Peak Found	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	13
F4J865	ath:AT3G52970; F4J865	Cytochrome P450, family 76, subfamily G, polypeptide 1 OS=Arabidopsis thaliana OX=3702 GN=CYP76G1 PE=3 SV=1	7.239	14	5	5	7.569	2.92	0.00139950956609415	0.000157971808071977	559181.888218559	4232723.97564412	89.79	66.49	283639.915466427	1737718.83992563	559181.888218559	2087792.73371761	8563239.48714703	4232723.97564412	Peak Found	Peak Found	High	Peak Found	Peak Found	Not Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Not Found	High	Peak Found	High	Peak Found	6
Q93ZS1	ath:AT3G45090; Q93ZS1; Q9M1V0	P-loop NTPase domain-containing protein LPA1 homolog 2 OS=Arabidopsis thaliana OX=3702 GN=At3g45090 PE=2 SV=1	51.01	135	12	6	2.878	1.53	0.00154089532688162	0.00017462605052776	10922169.9248979	31434202.5601263	29.05	10.1	8105513.64317358	14598223.7365487	10922169.9248979	28552522.3172934	31434202.5601263	34933351.869608	High	High	High	Peak Found	High	High	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	10
P61841	ath:ArthCp069; ath:ArthCp088; P56800; P61841; Q9XQ95	30S ribosomal protein S7, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=rps7-A PE=1 SV=1	19.184	48	5	5	0.199	-2.33	0.00155482350349549	0.00017636036230817	7820918.06039699	1556138.273653	29.59	56.15	7820918.06039699	5721633.77173157	10442938.7288021	1556138.273653	2284409.96005103	619396.141882606	Peak Found	Peak Found	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	High	High	High	High	Peak Found	High	8
Q9LEX5	ath:AT3G60980; Q9LEX5	Pentatricopeptide repeat-containing protein At3g60980, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At3g60980 PE=2 SV=1	21.494	99	9	9	3.122	1.64	0.00155748434556645	0.000176740241509821	8735400.06134973	27270741.9868791	10.59	60.96	8259528.28717683	10101482.4119213	8735400.06134973	38750192.206177	8674441.51264337	27270741.9868791	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
Q8RWW8	Q8RWW8	Rab3 GTPase-activating protein catalytic subunit OS=Arabidopsis thaliana OX=3702 GN=MQJ2.13 PE=1 SV=1	12.327	27	4	4	2.688	1.43	0.00162573413464699	0.000184729551563567	16233443.407997	43629110.6703799	96.74	51.86	30258599.4658752	16233443.407997	180816.502691416	28302781.1414525	79239870.4259041	43629110.6703799	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	High	High	Peak Found	High	Peak Found	7
Q9LJ94	ath:AT3G22520; Q9LJ94	Spindle assembly abnormal protein OS=Arabidopsis thaliana OX=3702 GN=At3g22520 PE=1 SV=1	55.535	159	15	13	0.268	-1.9	0.00166194369374594	0.000188927286723262	14592880.3891238	3910456.28370448	57.95	49.42	17116914.2487353	14592880.3891238	4080767.59319488	2130227.71857679	6132393.8229681	3910456.28370448	High	High	Peak Found	High	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	10
Q9FIG9	ath:AT5G42480; Q7XAR9; Q7XAS0; Q7XAS1; Q9FIG9	Protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 6, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ARC6 PE=1 SV=1	31.928	41	9	9	2.434	1.28	0.00173364421552274	0.000197338780685286	28192589.7832472	68617361.0642475	43.67	17.1	28192589.7832472	38078705.2883411	14622739.6062379	68617361.0642475	53545434.0970868	75599891.4510015	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	9
Q67YS6	ath:AT5G46150; Q0WQT3; Q67YS6; Q67YX0; Q8LDM0; Q9FNK7	Putative ALA-interacting subunit 2 OS=Arabidopsis thaliana OX=3702 GN=ALIS2 PE=2 SV=1	9.077	20	5	5	0.126	-2.99	0.00176281275685366	0.000201189145774938	1233298.10972182	155682.206230121	22.64	29.65	1048044.29483635	1233298.10972182	1625591.79938186	107773.251962025	199178.830782765	155682.206230121	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	High	Peak Found	High	Peak Found	Peak Found	9
Q93V93	ath:AT4G26010; Q93V93; Q9SZH5	Peroxidase 44 OS=Arabidopsis thaliana OX=3702 GN=PER44 PE=2 SV=1	118.972	865	16	15	1.946	0.96	0.00177461995087337	0.00020280354308011	141837147.289227	276081954.597002	16.27	10.34	177094921.19029	130332219.818985	141837147.289227	276081954.597002	288959774.883217	236035384.590412	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q42560	ath:AT4G35830; Q42560; Q9SZT1	Aconitate hydratase 1 OS=Arabidopsis thaliana OX=3702 GN=ACO1 PE=1 SV=2	276.641	1216	38	29	2.232	1.16	0.00180034614865209	0.000205833770992703	78554146.0594232	175296313.12005	18.89	26.48	91449327.937054	62270407.1764794	78554146.0594232	175296313.12005	137233751.813677	232871504.381711	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FJZ9	ath:AT5G66390; Q43736; Q9FJZ9	Peroxidase 72 OS=Arabidopsis thaliana OX=3702 GN=PER72 PE=1 SV=1	154.596	668	16	16	2.063	1.04	0.00186157020547045	0.000212926831180571	59984213.8902524	123734832.283597	14.04	19.05	73859207.3295573	57152406.9705795	59984213.8902524	93872413.5239693	123734832.283597	138161090.491982	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FG37	ath:AT5G06680; Q9FG37	Gamma-tubulin complex component 3 OS=Arabidopsis thaliana OX=3702 GN=GCP3 PE=1 SV=1	248.674	1271	38	38	2.14	1.1	0.00197799625922498	0.000226739383732522	94920707.8970811	203171354.779469	65.86	13.05	73369582.5483648	94920707.8970811	237205657.612336	196353045.068186	248210108.972911	203171354.779469	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FJC9	ath:AT5G53540; Q9FJC9	26S proteasome regulatory particle chain RPT6-like protein OS=Arabidopsis thaliana OX=3702 GN=MNC6.8 PE=1 SV=1	50.492	362	10	5	0.275	-1.86	0.00212508496247042	0.000244558923053084	17070717.2590275	4698956.92063265	11.14	36.54	15045159.3027929	18826228.9488118	17070717.2590275	3743441.47412325	4698956.92063265	7475712.04507798	High	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	Peak Found	High	High	High	High	High	15
Q8VZT0	ath:AT3G03920; Q8LG22; Q8VZT0; Q9S715	Putative H/ACA ribonucleoprotein complex subunit 1-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=At3g03920 PE=2 SV=1	114.212	445	7	7	0.464	-1.11	0.00219638349259399	0.000252874185879826	133232825.50334	61834169.6139026	14.76	18.12	133232825.50334	167781217.798429	129288893.088532	83142720.1061841	61834169.6139026	61292205.4016301	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8RWV9	ath:AT5G08450; Q8RWV9	Uncharacterized protein At5g08450 OS=Arabidopsis thaliana OX=3702 GN=HDC1 PE=1 SV=1	78.787	298	21	21	2.694	1.43	0.00221446640565217	0.000255067104415252	15206842.4671428	40967033.3037398	4.09	28.42	14275868.250784	15206842.4671428	15431813.3025928	40967033.3037398	34247772.7231771	58819533.8241849	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9ZUL7	ath:AT2G02130; Q4VP02; Q9ZUL7	Defensin-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=PDF2.3 PE=2 SV=1	44.16	120	2	2	3.01	1.59	0.00223005601012466	0.000256974525952414	8645527.85375135	26021069.7431728	74.68	26.06	2669901.6761265	16456898.6818474	8645527.85375135	16566172.2582923	26021069.7431728	28077713.2283742	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q6NKQ6	Q6NKQ6	At3g16220 OS=Arabidopsis thaliana OX=3702 GN=At3g16220 PE=1 SV=1	14.042	38	5	5	0.28	-1.83	0.00233473765380734	0.000269271281710726	12130257.5257164	3401904.83663596	75.74	25.95	3808220.33995979	23764339.0866705	12130257.5257164	3401904.83663596	4820547.05262858	2969710.42043009	Peak Found	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	High	High	High	Peak Found	High	11
O64871	ath:AT2G44370; O64871	At2g44370 OS=Arabidopsis thaliana OX=3702 GN=At2g44370 PE=1 SV=1	34.343	248	5	3	3.631	1.86	0.00233900556241154	0.000269880748066331	4043918.23751981	14685476.5256826	42.28	48.74	7190186.03291169	3332609.3425074	4043918.23751981	9183941.10589436	24765547.1397488	14685476.5256826	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4JB74	F4JB74	Late embryogenesis abundant protein-related / LEA protein-like protein OS=Arabidopsis thaliana OX=3702 GN=At3g19430 PE=1 SV=1	39.458	130	4	4	0.323	-1.63	0.00246649540621303	0.000284961751858104	21755924.50657	7032733.53050395	42.51	111.05	21755924.50657	39852549.8057173	18807450.6674499	7032733.53050395	30006007.2398712	2651872.53132634	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P33207	ath:AT1G24360; O04463; P33207; Q9FPJ6	3-oxoacyl-[acyl-carrier-protein] reductase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g24360 PE=1 SV=2	151.844	903	14	14	1.874	0.91	0.00248396510557332	0.00028710458290071	164326429.718522	308001940.756755	26.64	35.97	204120900.594076	164326429.718522	117848542.982939	218577093.130602	308001940.756755	450959585.925369	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SRY5	ath:AT1G02920; O23720; Q541C6; Q9SRY5	Glutathione S-transferase F7 OS=Arabidopsis thaliana OX=3702 GN=GSTF7 PE=2 SV=3	102.044	520	14	8	2.626	1.39	0.00260299796106282	0.000301906535105978	16768388.1959766	44031384.0246941	14.23	26.16	16906825.696159	16768388.1959766	13004346.2314376	44031384.0246941	54086211.5775417	31521343.2897975	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q9FVV7	ath:AT1G71310; Q9FVV7	DNA repair RAD52-like protein 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=RAD52-1 PE=1 SV=1	9.943	20	4	4	0.128	-2.97	0.00268295145725669	0.00031158330542147	1853797.13667383	237188.146660321	112.6	37.59	220401.558774399	1853797.13667383	6281792.82870122	374550.862940151	237188.146660321	181448.536160754	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	High	High	High	High	Peak Found	Peak Found	High	6
Q9SMU8	ath:AT3G49120; Q42206; Q42584; Q9C5R4; Q9SMU8	Peroxidase 34 OS=Arabidopsis thaliana OX=3702 GN=PER34 PE=1 SV=1	64.581	329	11	8	1.778	0.83	0.0027256140477574	0.000316674520710825	449326008.271756	798731646.116239	30.8	29.04	698558077.186948	449326008.271756	402467993.632341	570522637.087478	1036270719.4726	798731646.116239	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q0WL81	ath:AT1G07910; Q0WL81; Q0WVN4; Q0WWW5; Q96312; Q9LN14	tRNA ligase 1 OS=Arabidopsis thaliana OX=3702 GN=RNL PE=1 SV=1	43.171	95	14	14	0.283	-1.82	0.00279918581423973	0.000325923945991624	17335899.4771666	4898999.28929659	5.81	41.5	15914746.9438887	17335899.4771666	17816735.3234382	7170225.29503805	3005620.96807312	4898999.28929659	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	14
Q9LZJ7	ath:AT3G62680; Q9LZJ7; Q9M7N9	Proline-rich protein 3 OS=Arabidopsis thaliana OX=3702 GN=PRP3 PE=2 SV=1	21.693	50	4	4	3.41	1.77	0.00283810059936951	0.00033088176001872	4397946.90945413	14995418.8016581	80.45	25.28	5098950.81621873	258281.817822324	4397946.90945413	10601062.6462117	17873293.0168072	14995418.8016581	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	7
O82381	ath:AT2G29750; O82381	Flavonol 3-O-glucosyltransferase UGT71C1 OS=Arabidopsis thaliana OX=3702 GN=UGT71C1 PE=1 SV=1	82.035	466	14	13	2.572	1.36	0.00305858016518251	0.000357506337787861	17930489.8290309	46112564.3092424	40.18	26.39	29197859.9726396	13449682.7189732	17930489.8290309	28475270.7308592	46112564.3092424	48053990.201672	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q84VW9	ath:AT3G14940; O81357; Q0WTJ7; Q84VW9	Phosphoenolpyruvate carboxylase 3 OS=Arabidopsis thaliana OX=3702 GN=PPC3 PE=1 SV=2	481.183	2284	62	29	1.767	0.82	0.00307251860980225	0.00035928955524378	271707576.057459	480164599.949831	2.72	10.21	280117154.007149	271707576.057459	265328867.007911	480164599.949831	481820912.940798	400699246.038254	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P0DI10	ath:AT1G05240; ath:AT1G05250; P0DI10; Q96506	Peroxidase 1 OS=Arabidopsis thaliana OX=3702 GN=PER1 PE=1 SV=1	184.654	1013	18	17	2.107	1.07	0.00326026591182176	0.000381570893895233	95348166.094044	200863800.43911	24.36	8.18	141751508.24413	94801599.0838507	95348166.094044	215098603.071667	182528087.261617	200863800.43911	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4K5T4	ath:AT5G28040; F4K5T4; Q8GXW7	Probable transcription factor At5g28040 OS=Arabidopsis thaliana OX=3702 GN=At5g28040 PE=1 SV=1	73.012	270	11	6	0.196	-2.35	0.00337685469965897	0.000395893095208377	4856749.51932247	949692.878755382	92.34	47.9	4856749.51932247	8903017.50402653	271101.369669296	949692.878755382	749513.038067788	1802219.27599401	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	9
Q9ASZ4	ath:AT3G17900; Q9ASZ4	AT3g17900/MEB5_12 OS=Arabidopsis thaliana OX=3702 GN=At3g17900 PE=1 SV=1	296.652	1570	38	38	0.449	-1.16	0.0034910827391345	0.000409459857128702	204999247.960363	91995366.6906379	10.61	27.97	204999247.960363	207244697.718405	170469587.186002	132349401.841404	78056783.1858956	91995366.6906379	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LKW9	ath:AT2G01980; Q9LKW9; Q9ZPS6	Sodium/hydrogen exchanger 7 OS=Arabidopsis thaliana OX=3702 GN=NHX7 PE=1 SV=1	25.604	53	7	7	3.574	1.84	0.00360422572288427	0.000423633367759191	5054258.66605735	18066052.1589079	20.22	13.47	4495475.94109359	6596574.78025377	5054258.66605735	15447437.5042857	20272787.2028573	18066052.1589079	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	10
Q9FF98	ath:AT5G23820; Q9FF98	MD-2-related lipid-recognition protein 3 OS=Arabidopsis thaliana OX=3702 GN=ML3 PE=1 SV=1	14.338	111	4	4	3.597	1.85	0.00396276823663056	0.000468159226792553	4635335.36555446	16673831.8944432	13.1	54.15	4577260.14359621	4635335.36555446	5735523.71965221	8406027.30696623	27248416.9685827	16673831.8944432	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	17
Q39241	ath:AT1G45145; Q38881; Q39241; Q56X92; Q9MAJ6	Thioredoxin H5 OS=Arabidopsis thaliana OX=3702 GN=TRX5 PE=1 SV=1	104.524	362	9	9	2.592	1.37	0.00402567846957892	0.000475994963146542	15673152.3211237	40622382.4954645	26.14	21.84	21889021.2600317	13309029.6973451	15673152.3211237	37061032.3426643	40622382.4954645	55326973.8259507	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4INI6	F4INI6	Ribonuclease II family protein OS=Arabidopsis thaliana OX=3702 GN=EMB2763 PE=1 SV=1	113.881	469	26	26	0.502	-0.99	0.00409875402529318	0.00048484083503042	521799086.928544	262096257.883147	26.73	39.75	521799086.928544	353599044.176264	615841487.989791	450083490.919251	217993659.628002	262096257.883147	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8L608	ath:AT5G61250; Q8L608; Q9FLK8	Heparanase-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=At5g61250 PE=2 SV=1	37.401	116	7	7	3.349	1.74	0.00429404274849264	0.000509663336596189	3998537.2139358	13392008.3199789	9.59	32.05	3552368.27708355	3998537.2139358	4306589.02198391	7327129.30680829	13392008.3199789	14089016.2954361	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q8GUQ8	ath:AT4G34890; Q8GUQ8; Q9SW46	Xanthine dehydrogenase 1 OS=Arabidopsis thaliana OX=3702 GN=XDH1 PE=1 SV=1	31.091	66	10	5	2.9	1.54	0.00439038960929189	0.000521318880477795	7236705.72671387	20983331.4744052	20.09	19.95	7236705.72671387	5085910.64366165	7510690.74122781	16599069.6594104	24906438.5281715	20983331.4744052	High	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	High	High	High	10
A0A1P8BEK7	A0A1P8BEK7	RING-H2 group F2A OS=Arabidopsis thaliana OX=3702 GN=RHF2A PE=1 SV=1	11.281	26	3	3	0.269	-1.9	0.00445219739980612	0.000530889560129255	10810172.6497958	2903586.29930537	25.01	13.23	7394264.75493466	10810172.6497958	12382799.7606933	2903586.29930537	2311135.79848786	2963731.56005007	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	High	Peak Found	High	High	High	7
A0A1P8B5S3	A0A1P8B5S3	Pleiotropic drug resistance 2 OS=Arabidopsis thaliana OX=3702 GN=ABCG30 PE=3 SV=1	8.72	58	4	2	4.593	2.2	0.00468689712488092	0.000559815340012593	1956463.41873154	8985234.79368648	40.84	42.38	1689746.41087971	1956463.41873154	3489903.27208218	5192640.80901008	12821520.2834487	8985234.79368648	High	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Not Found	Not Found	Not Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	7
Q9SZD1	ath:AT4G29000; Q9SZD1	Protein tesmin/TSO1-like CXC 5 OS=Arabidopsis thaliana OX=3702 GN=TCX5 PE=1 SV=1	7.727	20	3	3	0.155	-2.69	0.0048461236493716	0.00057907667686341	821429.343514928	127020.52948985		49.58		821429.343514928		183173.348023111	88081.672830734		Not Found	High	Not Found	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Not Found	Peak Found	6
Q8L778	ath:AT5G09870; Q8L778; Q9FIB9	Cellulose synthase A catalytic subunit 5 [UDP-forming] OS=Arabidopsis thaliana OX=3702 GN=CESA5 PE=1 SV=2	242.19	1460	34	4	0.313	-1.68	0.00504881485753043	0.000604309051164487	14731322.122745	4608484.55357008	52.78	26.6	20659814.1332156	14731322.122745	6131812.50257966	4608484.55357008	6806799.37628789	4239087.46714783	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	High	High	16
O80695	ath:AT1G61890; B9DHU1; O80695; Q94AC7	Protein DETOXIFICATION 37 OS=Arabidopsis thaliana OX=3702 GN=DTX37 PE=2 SV=1	16.893	96	3	2	7.443	2.9	0.00520796934472068	0.000624141882774154	105438.618563127	784758.935278448	120.15	7.95	99402.9634599151	105438.618563127	798238.776164083		830171.448840451	741830.60301526	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	High	High	Peak Found	6
Q9SGH2	ath:AT3G01460; Q9SGH2; Q9SSA6	Methyl-CpG-binding domain-containing protein 9 OS=Arabidopsis thaliana OX=3702 GN=MBD9 PE=2 SV=1	43.28	88	12	12	0.186	-2.43	0.00527013821647343	0.000631856579309531	4320011.99823978	801821.434662714	35.12	88.47	4320011.99823978	5123516.80661162	2419413.98412336	801821.434662714	3146667.10766507	722081.976815723	High	High	Peak Found	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	Peak Found	11
P31168	ath:AT1G20440; P31168; Q39059	Dehydrin COR47 OS=Arabidopsis thaliana OX=3702 GN=COR47 PE=1 SV=2	204.911	544	15	14	2.237	1.16	0.00540504836104139	0.000648302377222798	26313014.2937972	58874905.5328832	47.28	35.07	45068425.6885554	17621103.4532031	26313014.2937972	58874905.5328832	41308536.3288328	84178954.1609624	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q6ID99	ath:AT1G20816; Q56ZY5; Q6ID99; Q9LM70	Outer envelope pore protein 21A, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=OEP21A PE=2 SV=1	9.807	56	4	3	0.298	-1.75	0.00549034374300626	0.00065880822619202	16259728.2282285	4845609.66710327	46.61	6.51	6752284.16438229	19418252.4576393	16259728.2282285	4778822.34796857	4845609.66710327	5372821.4558777	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	High	Peak Found	High	Peak Found	8
Q9CAF6	ath:AT3G10690; Q9CAF6; Q9SG75	DNA gyrase subunit A, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=GYRA PE=1 SV=2	221.875	955	33	33	0.499	-1	0.00553110527131755	0.000663976598907601	108273317.409804	54003633.2966252	28.93	22.17	108273317.409804	121818487.111718	66859310.5865668	74984434.7806423	54003633.2966252	50443164.4175744	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SB42	ath:AT4G25210; Q8H0X7; Q94F05; Q9SB42	GLABROUS1 enhancer-binding protein-like OS=Arabidopsis thaliana OX=3702 GN=GEBPL PE=1 SV=1	71.49	232	9	9	0.315	-1.67	0.00561601117975954	0.00067445054316595	12190779.5488253	3840143.36074714	72.33	24.25	12190779.5488253	19041290.2148397	2732159.30215063	5128085.8451398	3196635.5738384	3840143.36074714	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	17
F4I3L9	ath:AT1G56230; F4I3L9	Enolase (DUF1399) OS=Arabidopsis thaliana OX=3702 GN=At1g56230 PE=1 SV=1	21.903	35	7	7	5.265	2.4	0.00571488584217645	0.000690334603280052	953395.425593271	5019999.56261731	73.15	31.84		537805.557550692	1690132.84593382	5019999.56261731	3831404.02010925	7189015.66269918	High	High	High	High	High	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	10
