Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (WT C)	Abundance Ratio (log2): (rbohF C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohF C) / (WT C)	Abundance Ratio P-Value: (rbohF C) / (WT C)	Abundances (Grouped): rbohF C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
F4I1Z0	F4I1Z0	GPI transamidase subunit PIG-U OS=Arabidopsis thaliana OX=3702 GN=At1g63110 PE=1 SV=1	16.422	33	3	3	3.152	1.66	0.0138667252557576	0.00196491496874085	18157018.0424657	5760409.04060902	104.81	62.97	4220084.2794499	58809121.0858384	18157018.0424657	1194027.16187131	6104642.34766226	5760409.04060902	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	High	High	9
P58050	ath:AT5G25140; P58050; Q0WUU4	Cytochrome P450 71B13 OS=Arabidopsis thaliana OX=3702 GN=CYP71B13 PE=2 SV=1	40.945	225	10	7	0.369	-1.44	0.0143630063508127	0.00203882875149786	7577734.6147676	20525090.3670804	10.76	20.88	6761193.53312274	8391605.13957398	7577734.6147676	20525090.3670804	20068745.2554706	28634439.1129039	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	15
Q9LN61	ath:AT1G19370; Q9LN61	F18O14.9 OS=Arabidopsis thaliana OX=3702 GN=At1g19370 PE=1 SV=1	121.536	646	20	18	0.527	-0.92	0.0144722620509328	0.00205723205054009	80253096.6051769	152243373.115417	7.27	40.5	81458179.4305358	80253096.6051769	71142989.1332869	152243373.115417	240980057.078638	108098689.09763	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SW44	ath:AT4G34910; Q9SW44; Q9ZS05	DEAD-box ATP-dependent RNA helicase 16 OS=Arabidopsis thaliana OX=3702 GN=RH16 PE=2 SV=1	65.307	244	11	11	0.452	-1.14	0.0147244447591428	0.00209528848922602	18603442.9937644	41112937.63446	14.79	43.73	21998178.6100378	16418812.257451	18603442.9937644	41112937.63446	71626944.0976474	31358634.5464729	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	17
Q56WF8	ath:AT3G45010; Q56WF8; Q93ZC3; Q9LXH4	Serine carboxypeptidase-like 48 OS=Arabidopsis thaliana OX=3702 GN=SCPL48 PE=2 SV=2	11.037	32	5	5	5.512	2.46	0.0148641472929443	0.00211665457451526	4151515.9847134	753195.462225549	37.41	23.49	2533857.43144468	4151515.9847134	5595434.17598206	890693.09154215		636923.548306552	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Not Found	Peak Found	High	High	High	8
Q9SN35	ath:AT4G18800; Q9SN35	Ras-related protein RABA1d OS=Arabidopsis thaliana OX=3702 GN=RABA1D PE=1 SV=1	144.452	1157	15	7	0.45	-1.15	0.0149541025613369	0.00213118098792897	19539373.3264329	43457899.9998101	25.47	5.27	19539373.3264329	18144670.1423514	28499522.4173904	47233970.5394508	42933029.2702171	43457899.9998101	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8GZ51	ath:AT5G62720; Q8GZ51	At5g62720 OS=Arabidopsis thaliana OX=3702 GN=MQB2.4 PE=1 SV=1	35.978	154	3	3	0.451	-1.15	0.0149654298186082	0.00213407029213353	264754677.229112	587170503.903203	10.77	27.6	297078804.652417	239680607.281305	264754677.229112	747080263.22622	587170503.903203	423602685.593112	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	17
Q9FKA4	ath:AT5G39580; P93724; Q9FKA4	Peroxidase 62 OS=Arabidopsis thaliana OX=3702 GN=PER62 PE=2 SV=1	86.206	165	9	9	4.941	2.3	0.0153821308921062	0.00219733739793737	6554295.15776826	1326459.80464325	11.95	11.37	5467752.92348026	6918094.45311847	6554295.15776826	1326459.80464325	1113686.37656341	1391136.13631064	Peak Found	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	High	Peak Found	High	High	High	High	14
Q9FVQ1	ath:AT1G48920; Q9FVQ1	Nucleolin 1 OS=Arabidopsis thaliana OX=3702 GN=NUCL1 PE=1 SV=1	101.431	411	16	16	2.591	1.37	0.0155794614561532	0.00222869457976116	48419663.9691169	18690877.4894864	33.42	57.84	48419663.9691169	27409111.4697317	55575617.0981843	17693072.1628268	45531894.7176903	18690877.4894864	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P30366	ath:AT2G29400; P30366	Serine/threonine-protein phosphatase PP1 isozyme 1 OS=Arabidopsis thaliana OX=3702 GN=TOPP1 PE=1 SV=1	43.974	239	11	3	0.142	-2.82	0.0159674576843346	0.00228893505904937	237192.726227415	1670630.31021239	28.07	48.3		193976.171446109	290037.631714078	664111.674231464	1670630.31021239	2008305.92983561	Not Found	Peak Found	High	Not Found	Not Found	Peak Found	Not Found	High	High	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	9
F4JTS8	ath:AT4G13750; F4JTS8; Q9SVN7; Q9SVN8	Protein NO VEIN OS=Arabidopsis thaliana OX=3702 GN=NOV PE=1 SV=1	46.69	156	15	15	0.428	-1.22	0.0161506162082988	0.00231761342589087	12672494.9813856	29609161.0107693	6.68	26.87	13565596.6323603	12672494.9813856	11868598.1601101	28821961.9631173	45291315.1620476	29609161.0107693	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FWW5	ath:AT1G12150; Q9FWW5	WEB family protein At1g12150 OS=Arabidopsis thaliana OX=3702 GN=At1g12150 PE=2 SV=1	9.295	35	3	3	0.155	-2.69	0.0162369591416361	0.00233162733273895	496073.102217393	3201684.12489303	120.3	30.19	308228.440608661	3129652.13476985	496073.102217393	3018841.46151724	3201684.12489303	5072166.51776514	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	High	7
Q9LEY9	ath:AT5G08180; Q9LEY9	H/ACA ribonucleoprotein complex subunit 2-like protein OS=Arabidopsis thaliana OX=3702 GN=At5g08180 PE=1 SV=1	86.181	278	10	10	0.503	-0.99	0.0162739634995711	0.00233775485671339	90344966.1991308	179715714.941498	40.26	17.2	163124732.074563	90344966.1991308	81157110.5220357	198687530.884851	140363076.397311	179715714.941498	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SQH9	ath:AT3G24300; Q0WSW8; Q9LK15; Q9SQH9	Ammonium transporter 1 member 3 OS=Arabidopsis thaliana OX=3702 GN=AMT1-3 PE=1 SV=2	90.751	533	6	6	2.3	1.2	0.0165766240379368	0.00238288970545342	75716393.926009	32925926.3083161	28.12	32.54	59837587.5604664	104181463.234956	75716393.926009	32925926.3083161	29269729.0499354	52392914.6050058	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q67YL8	A0A178V0K3; ath:AT4G33740; Q67YL8	Myb-like protein X OS=Arabidopsis thaliana OX=3702 GN=At4g33740 PE=1 SV=1	62.996	180	11	11	3.178	1.67	0.0170028514311962	0.00245011089123537	16854861.7528186	5303394.33328686	30.29	62.57	9786236.42096926	18227595.7184712	16854861.7528186	4817666.5249898	5303394.33328686	13630292.8274486	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4IQS9	ath:AT2G31340; F4IQS9	Embryo defective 1381 OS=Arabidopsis thaliana OX=3702 GN=emb1381 PE=1 SV=1	7.846	58	4	4	0.24	-2.06	0.0170235264710187	0.00245394134079735	1221223.99264162	5098714.58809357	10.6	48.82	1221223.99264162	1123446.75184018	1384226.81635321	2540764.03709915	5098714.58809357	7450568.17933099	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	16
Q9SZ70	ath:AT4G12050; Q9SZ70	AT-hook motif nuclear-localized protein 26 OS=Arabidopsis thaliana OX=3702 GN=AHL26 PE=2 SV=1	26.672	109	4	3	0.246	-2.02	0.0171133973488795	0.00246987832023504	1068760.78475616	4341082.22209932		32.43	1068760.78475616			4341082.22209932	4191757.45240895	7211159.89694392	High	High	Not Found	High	High	High	High	Not Found	Not Found	Not Found	Peak Found	Not Found	High	High	High	High	High	Peak Found	11
Q96291	ath:AT3G11630; P92938; Q8L5U1; Q96291; Q9S7Y0	2-Cys peroxiredoxin BAS1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BAS1 PE=1 SV=2	45.804	188	8	8	3.32	1.73	0.0172803981258845	0.00249528948937772	19993046.2544381	6021391.62674218	29.66	19.72	19455834.0150027	19993046.2544381	31941806.3723158	5972146.80427999	8307139.87799741	6021391.62674218	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	17
F4K790	ath:AT5G37630; F4K790	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=EMB2656 PE=1 SV=1	47.613	89	13	13	4.238	2.08	0.017436120506448	0.00251951941318174	9924135.41511443	2341721.10617969	13.96	83.15	9924135.41511443	9773264.86666756	12435261.5300895	2341721.10617969	2245903.50481867	8646242.36921064	High	High	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	High	High	Peak Found	Peak Found	High	11
Q9C9B9	ath:AT1G73980; Q9C9B9	Inorganic pyrophosphatase TTM1 OS=Arabidopsis thaliana OX=3702 GN=TTM1 PE=1 SV=1	41.351	101	10	9	4.676	2.23	0.017436120506448	0.00251951518498506	7785857.31186782	1665047.13917401	63.04	52.66	7785857.31186782	17797160.1511286	5514773.70116256	1535813.49221676	1665047.13917401	3693554.07794789	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	Peak Found	High	High	High	High	15
Q56YT0	ath:AT2G30210; O22917; Q56YT0	Laccase-3 OS=Arabidopsis thaliana OX=3702 GN=LAC3 PE=2 SV=2	183.628	828	20	19	2.075	1.05	0.0178729574722781	0.00258532329836503	305427040.829085	147199981.6522	11.56	25.64	305427040.829085	362285812.44946	292777072.881828	180249951.501225	106265777.324165	147199981.6522	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q58FW3	A0A178VBK7; Q58FW3	Tropomyosin OS=Arabidopsis thaliana OX=3702 GN=At3g10880 PE=1 SV=1	7.349	33	4	4	2.869	1.52	0.0182763752075984	0.00264459149253948	21193789.5817961	7387047.02690783	13.78	43.14	21193789.5817961	16665461.144034	21569241.23862	5945762.99526169	7387047.02690783	13140033.9774088	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	10
A0A1I9LQT2	A0A1I9LQT2	Anaphase-promoting complex subunit 8 OS=Arabidopsis thaliana OX=3702 GN=APC8 PE=1 SV=1	25.57	83	8	8	0.383	-1.38	0.0186307810562813	0.00270146325316079	6518431.98206958	17001880.0520763	8.62	63.05	6347560.68187015	6518431.98206958	7432839.54038763	4572318.50597365	22858513.115188	17001880.0520763	High	High	High	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	Peak Found	High	High	13
Q9FX97	ath:AT1G49710; Q9FX97	Putative fucosyltransferase-like protein OS=Arabidopsis thaliana OX=3702 GN=FUT12 PE=2 SV=1	94.472	419	19	16	0.495	-1.02	0.0188755001882529	0.0027397788523249	63478430.3012289	128310179.241138	30.93	13.31	56675165.0186425	63478430.3012289	98719871.3368235	148688800.471234	128310179.241138	114169519.869568	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P62126	ath:ArthCp001; ath:ArthCp047; P06369; P28806; P56803; P62126; Q9XQZ8	30S ribosomal protein S12, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=rps12-A PE=2 SV=2	9.305	43	3	3	0.231	-2.11	0.0189867792622795	0.0027578296878461	873334.572371559	3783092.87023048	35.84	8.45	873334.572371559	506614.208955679	1090549.71014931	3783092.87023048	3904507.6753389	3317519.2839122	Peak Found	High	High	High	High	High	High	Peak Found	High	High	Peak Found	Peak Found	High	High	High	High	Peak Found	High	13
Q9CAF6	ath:AT3G10690; Q9CAF6; Q9SG75	DNA gyrase subunit A, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=GYRA PE=1 SV=2	221.875	955	33	33	0.488	-1.03	0.0189989255818655	0.00276054388704505	54003633.2966252	110563744.1702	22.17	8.64	74984434.7806423	54003633.2966252	50443164.4175744	110563744.1702	109937979.759725	127603135.675259	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O48724	ath:AT2G26570; O48724; Q0WQC5	Protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1 OS=Arabidopsis thaliana OX=3702 GN=WEB1 PE=1 SV=1	103.641	382	24	22	2.515	1.33	0.0192307672623735	0.00279829581327529	43762933.4994348	17401954.0599622	29.75	33.64	60380216.9367581	33347339.5972697	43762933.4994348	17401954.0599622	22969458.9508978	11368124.7055031	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4KIZ2	F4KIZ2	Casein kinase II subunit beta OS=Arabidopsis thaliana OX=3702 GN=CKB1 PE=1 SV=1	19.375	79	5	3	0.198	-2.34	0.0194590500220587	0.00283907539821837	667588.448373373	3378840.82955086	96.41	21.84	2587810.67938757	428208.74500756	667588.448373373	3725420.5124779	2392632.34818929	3378840.82955086	High	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	High	9
A0A1R7T394	A0A1R7T394	Non-specific serine/threonine protein kinase OS=Arabidopsis thaliana OX=3702 GN=ATR PE=1 SV=1	20.747	80	8	8	0.242	-2.04	0.0197724805370481	0.00289841797266011	1330786.02345281	5490854.36615358	19.28	24.4	1330786.02345281	1695398.76294236	1168969.24594028	7384410.14662734	5490854.36615358	4601414.70500426	High	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	15
Q9XJ27	ath:AT1G74970; Q9XJ27	30S ribosomal protein S9, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RPS9 PE=2 SV=1	10.422	17	3	3	0.154	-2.7	0.0200783946364642	0.00294650441290112	229747.921368986	1488671.32414715	128.03	56.72	2062084.52831325	204390.317958213	229747.921368986	1488671.32414715	2400462.93532578	675323.43992697	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	6
Q9LFL3	ath:AT5G16880; Q9LFL3	TOM1-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=TOL1 PE=1 SV=1	33.818	87	9	9	0.326	-1.62	0.020082461397408	0.00294810533313949	3352673.5275659	10293934.8967519	39.25	93.76	3352673.5275659	2529711.95708176	5395387.53073532	4745030.40111382	10293934.8967519	33166704.2082718	High	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	High	High	High	High	High	14
Q9M146	ath:AT4G01220; Q5HZ43; Q94K03; Q9M146	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase MGP4 OS=Arabidopsis thaliana OX=3702 GN=MGP4 PE=2 SV=1	53.674	139	7	7	2.795	1.48	0.0204927233362765	0.00301140569426583	21892573.6535824	7832711.38141639	19.81	35.77	16581222.6159823	24825912.5983384	21892573.6535824	7832711.38141639	4965789.91376441	10527824.4872696	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	Peak Found	High	High	High	High	16
Q9FYF8	ath:AT1G67350; Q9FYF8	At1g67350 OS=Arabidopsis thaliana OX=3702 GN=At1g67350 PE=1 SV=1	36.978	278	6	6	2.495	1.32	0.020800859528557	0.00305876639367431	57759014.6036878	23152038.3807661	12.2	51.67	48901223.954684	57759014.6036878	62435887.5003636	21678102.6324609	23152038.3807661	50966436.4031823	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8RWI2	ath:AT5G07910; Q8RWI2	Leucine-rich repeat (LRR) family protein OS=Arabidopsis thaliana OX=3702 GN=At5g07910 PE=1 SV=1	76.632	515	14	14	2.551	1.35	0.0209090585733558	0.00307572251614063	55404520.2097207	21719309.200925	10.54	14.69	54367892.2034271	55404520.2097207	65517017.4291784	20391966.4305226	21719309.200925	26784428.0175161	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SB31	ath:AT4G25320; Q9SB31	AT-hook motif nuclear-localized protein 3 OS=Arabidopsis thaliana OX=3702 GN=AHL3 PE=1 SV=1	41.5	176	6	4	0.445	-1.17	0.0211247121747889	0.00310850139652019	15763057.4717699	35405307.7180616	2.95	17.15	15763057.4717699	15623688.0889044	16499152.8529477	33858581.089409	35405307.7180616	45965675.3858298	High	High	Peak Found	High	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	15
Q9ZQH0	ath:AT2G27490; Q9ZQH0	Dephospho-CoA kinase OS=Arabidopsis thaliana OX=3702 GN=COAE PE=2 SV=1	44.521	196	7	7	0.392	-1.35	0.0213123624611194	0.00313931099052289	8346414.74727824	21310978.5752955	15.12	18.67	8262419.56642251	10685260.8457704	8346414.74727824	21310978.5752955	23251651.1209561	15975298.5134683	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LW57	ath:AT3G23400; Q8LBY7; Q9LW57	Plastid-lipid-associated protein 6, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PAP6 PE=1 SV=1	86.584	435	12	12	0.437	-1.19	0.0214093027101882	0.00315466075434623	27131400.3117768	62115686.634855	24.42	32.54	24405632.2558389	27131400.3117768	38200629.500489	48876828.1560047	62115686.634855	91838084.3044621	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8B591	A0A1P8B591	Disease resistance protein (TIR-NBS-LRR class) family OS=Arabidopsis thaliana OX=3702 GN=At4g23510 PE=1 SV=1	82.376	267	24	24	2.488	1.31	0.0214804275780945	0.00316621502501113	51128413.3151136	20551490.4337521	13.67	7.09	48577380.6039036	62458844.5722339	51128413.3151136	22883156.2383427	20551490.4337521	20077630.0945876	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FF15	ath:AT5G07770; Q9FF15	Formin-like protein 16 OS=Arabidopsis thaliana OX=3702 GN=FH16 PE=3 SV=2	16.406	43	6	6	3.345	1.74	0.0219315522860363	0.00323600053980466	11921961.8878928	3563918.2784677	14.13	15.45	12985650.7880004	9777384.76412147	11921961.8878928	3563918.2784677	3467592.58472205	4544707.09784591	High	High	High	High	Peak Found	High	High	High	High	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	12
P37106	ath:AT1G15310; P37106	Signal recognition particle 54 kDa protein 1 OS=Arabidopsis thaliana OX=3702 GN=SRP-54A PE=2 SV=1	64.067	395	13	2	7.602	2.93	0.0222918020462761	0.0032947283424396	549748.878419506	72318.770984325	75.02		992515.200997643	304502.972871064			72318.770984325		High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	Not Found	Peak Found	High	High	Peak Found	Peak Found	10
Q9SZR1	ath:AT4G29900; Q9M0D3; Q9SZR1	Calcium-transporting ATPase 10, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=ACA10 PE=1 SV=2	282.715	1512	41	32	2.159	1.11	0.0236143943745491	0.00349352004246262	90622306.8952011	41972314.0680294	17.53	17.51	69605643.4541562	99003808.3504107	90622306.8952011	37440402.8400201	41972314.0680294	52445735.6479553	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8AZV7	A0A1P8AZV7	CASP-like protein OS=Arabidopsis thaliana OX=3702 GN=CASP-like protein 4A3 PE=1 SV=1	20.396	49	4	4	2.968	1.57	0.0251185187920274	0.00372758818873686	20685472.7148299	6969241.98764204	21.34	46.47	26173779.1581622	17137432.6960532	20685472.7148299	6969241.98764204	5807092.99976851	13316863.1563665	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	10
Q9C7H2	ath:AT1G72090; Q9C7H2	Threonylcarbamoyladenosine tRNA methylthiotransferase OS=Arabidopsis thaliana OX=3702 GN=At1g72090 PE=1 SV=1	69.852	175	17	17	0.365	-1.45	0.0251185187920274	0.00372443990957172	6795303.78300499	18615610.5863663	26.63	16.4	7003253.95844401	4146163.37883268	6795303.78300499	18615610.5863663	22822092.6989909	16604680.4095861	High	High	High	High	High	Peak Found	High	High	High	Peak Found	High	High	High	High	High	Peak Found	High	High	15
Q84M24	ath:AT2G41700; Q2V410; Q84M24; Q8S8T6; Q8W010; Q941E2; Q9SDB1	ABC transporter A family member 1 OS=Arabidopsis thaliana OX=3702 GN=ABCA1 PE=2 SV=2	52.672	143	14	14	0.39	-1.36	0.0254843935159526	0.00379844885355274	5896042.8109679	15120309.7368913	30.67	19.07	4868579.44706166	5896042.8109679	8714801.97489854	11851265.3193804	17478467.1792572	15120309.7368913	High	High	High	High	High	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	15
Q9ZVA2	ath:AT1G78830; Q56Z24; Q8H788; Q8VZ33; Q9ZVA2	EP1-like glycoprotein 2 OS=Arabidopsis thaliana OX=3702 GN=At1g78830 PE=1 SV=1	133.239	493	13	13	2.42	1.27	0.0256016675623471	0.00381720863354595	32666417.1878668	13500420.6397338	29.71	25.52	29488177.2252494	50143494.888282	32666417.1878668	8548650.74975985	13500420.6397338	14210568.226313	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SZR6	ath:AT4G29960; Q9SZR6	Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At4g29960 PE=1 SV=1	21.215	38	2	2	5.704	2.51	0.026112285793119	0.00389856426891266	1902290.25957305	333515.522085264	38.57	21.19	3433159.02920929	1794098.0238428	1902290.25957305	466558.170644332	324770.890568813	333515.522085264	High	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	High	High	High	High	12
Q680L3	Q680L3	TLR4 regulator/MIR-interacting MSAP protein OS=Arabidopsis thaliana OX=3702 GN=At1g42480 PE=1 SV=1	26.36	64	5	5	2.758	1.46	0.0262283778997835	0.00391851965822765	22531507.9408333	8170558.94898707	41.39	25.94	14935256.7023354	22531507.9408333	34663499.0350447	8170558.94898707	12259597.5094921	7882977.8439138	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	High	High	Peak Found	8
Q8LGG0	ath:AT5G64350; O04263; Q8LGG0	Peptidyl-prolyl cis-trans isomerase FKBP12 OS=Arabidopsis thaliana OX=3702 GN=FKBP12 PE=1 SV=2	20.763	53	2	2	0.277	-1.85	0.0264801325405826	0.00396283266169806	1744059.76048342	6296640.4131692	22.19	21.74	1744059.76048342	1651791.446273	2441682.07879342	5228962.04483952	6296640.4131692	8037696.59476055	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	High	High	Peak Found	11
Q9SYA9	ath:AT1G61730; B9DHQ9; Q8LAG8; Q9SYA9	Probable transcription factor At1g61730 OS=Arabidopsis thaliana OX=3702 GN=At1g61730 PE=1 SV=1	66.063	289	9	9	0.479	-1.06	0.0264801325405826	0.00396042609504543	18205898.9306682	37973996.7156455	24.61	16.49	12142550.3279498	20038974.4585	18205898.9306682	37973996.7156455	32190398.2360524	44817914.9428457	High	High	High	High	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	14
Q9SVD1	ath:AT3G52500; Q9SVD1	At3g52500 OS=Arabidopsis thaliana OX=3702 GN=F22O6_120 PE=1 SV=1	123.678	369	12	12	2.108	1.08	0.0271585755129866	0.00407650218449929	120688823.868076	57240882.1832971	26.91	24.3	84430864.8861761	147442675.255404	120688823.868076	79630447.8443933	50657040.2162394	57240882.1832971	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9M9V7	ath:AT1G18880; Q9M9V7	Protein NRT1/ PTR FAMILY 2.9 OS=Arabidopsis thaliana OX=3702 GN=NPF2.9 PE=1 SV=1	33.349	197	7	6	2.729	1.45	0.0271840920680611	0.00408169142401937	22036884.8725294	8074950.33289831	17.3	17.78	21288467.4910363	22036884.8725294	28843499.7879997	6547588.56059357	8074950.33289831	9391103.53431193	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q94CC6	Q94CC6	Prolyl carboxypeptidase like protein OS=Arabidopsis thaliana OX=3702 GN=At4g36195 PE=1 SV=1	54.528	392	12	11	0.476	-1.07	0.0272469310289477	0.00409385138709939	20330511.3425136	42716822.9977381	14.35	11.29	18686658.7358178	20330511.3425136	24582045.3031448	42716822.9977381	49998250.3714806	40395853.7342872	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8BFZ5	A0A1P8BFZ5	FIP1[V]-like protein OS=Arabidopsis thaliana OX=3702 GN=FIP1[V] PE=1 SV=1	34.155	93	10	10	0.461	-1.12	0.0273236480374052	0.004106744300022	15307809.0624411	33229044.7714818	16.66	22.03	12964105.0908107	15307809.0624411	18109336.2829293	29138577.3046923	44278987.3634483	33229044.7714818	High	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	High	Peak Found	High	High	Peak Found	14
Q9SR37	ath:AT3G09260; B9DH17; O24433; Q42585; Q56YN0; Q9SR37	Beta-glucosidase 23 OS=Arabidopsis thaliana OX=3702 GN=BGLU23 PE=1 SV=1	708.766	9101	35	29	1.906	0.93	0.0280988418143881	0.00423168557724685	5172395061.4556	2713532755.4612	4.46	45.21	5172395061.4556	5433159217.89135	4971698696.05969	2713532755.4612	2638115946.89914	5510550574.73955	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P33207	ath:AT1G24360; O04463; P33207; Q9FPJ6	3-oxoacyl-[acyl-carrier-protein] reductase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g24360 PE=1 SV=2	151.844	903	14	14	1.973	0.98	0.0282635080556748	0.0042578974885874	308001940.756755	156145949.049867	35.97	36.49	218577093.130602	308001940.756755	450959585.925369	156145949.049867	280416386.789062	155321891.673425	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
