Accession	Description	MW [kDa]	calc. pI
Q9CA57	Glutathione S-transferase U10 OS=Arabidopsis thaliana OX=3702 GN=GSTU10 PE=2 SV=1	26.8	6.81
Q8LFV5	At1g11380 OS=Arabidopsis thaliana OX=3702 GN=At1g11380 PE=1 SV=1	27.9	5.15
Q94F28	Uncharacterized protein At1g27435/F17L21.30 OS=Arabidopsis thaliana OX=3702 GN=At1g27435 PE=1 SV=1	8.8	11.03
Q9SGA5	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 12 OS=Arabidopsis thaliana OX=3702 GN=OTU12 PE=2 SV=1	25.6	8.98
Q9LDH3	Probable sugar phosphate/phosphate translocator At1g12500 OS=Arabidopsis thaliana OX=3702 GN=At1g12500 PE=1 SV=1	38.9	9.67
F4J8K0	Homogentisate prenyltransferase OS=Arabidopsis thaliana OX=3702 GN=HST PE=1 SV=1	43.6	9.94
Q9S7U3	At4g12520 OS=Arabidopsis thaliana OX=3702 GN=At4g12510 PE=1 SV=1	13.3	9.03
Q8L5V0	DNA-directed RNA polymerases II, IV and V subunit 9B OS=Arabidopsis thaliana OX=3702 GN=NRPB9B PE=1 SV=1	13.1	6.64
A0A1P8BFU8	Damaged DNA binding 2 OS=Arabidopsis thaliana OX=3702 GN=DDB2 PE=1 SV=1	51.8	8.57
O64556	Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g19230 OS=Arabidopsis thaliana OX=3702 GN=At2g19230 PE=1 SV=3	98.9	6.11
Q9LVM5	Uric acid degradation bifunctional protein TTL OS=Arabidopsis thaliana OX=3702 GN=TTL PE=1 SV=1	35.5	6.62
O65513	Transmembrane/coiled-coil protein (DUF726) OS=Arabidopsis thaliana OX=3702 GN=At4g36210 PE=1 SV=1	56.2	5.88
Q9SSR8	Probable disease resistance protein At1g52660 OS=Arabidopsis thaliana OX=3702 GN=At1g52660 PE=3 SV=1	41.9	8.88
F4I886	Deletion of SUV3 suppressor 1(I) OS=Arabidopsis thaliana OX=3702 GN=DSS1(I) PE=1 SV=1	13.5	4.18
Q9SR52	Urease OS=Arabidopsis thaliana OX=3702 GN=URE PE=3 SV=1	91	6.35
Q84MD7	At1g72880 OS=Arabidopsis thaliana OX=3702 GN=At1g72880 PE=1 SV=1	40.6	5.48
Q9LFT1	Protein trichome birefringence-like 21 OS=Arabidopsis thaliana OX=3702 GN=TBL21 PE=3 SV=1	59.8	7.03
Q9SK99	Protein NRT1/ PTR FAMILY 5.15 OS=Arabidopsis thaliana OX=3702 GN=NPF5.15 PE=2 SV=1	62.9	8.82
F4IJ77	AAA-ATPase At2g46620 OS=Arabidopsis thaliana OX=3702 GN=At2g46620 PE=2 SV=1	55.9	9.04
Q9ZPY5	At2g46540/F11C10.23 OS=Arabidopsis thaliana OX=3702 GN=At2g46540 PE=1 SV=2	6.8	8.92
Q9FR95	Arabidiol synthase OS=Arabidopsis thaliana OX=3702 GN=PEN1 PE=1 SV=1	88	6.64
Q9C787	cAMP-regulated phosphoprotein 19-related protein OS=Arabidopsis thaliana OX=3702 GN=At1g69510 PE=1 SV=1	15.1	5.06
Q6ID99	Outer envelope pore protein 21A, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=OEP21A PE=2 SV=1	19.8	9.48
F4I9E1	Protein NUCLEAR FUSION DEFECTIVE 4 OS=Arabidopsis thaliana OX=3702 GN=NFD4 PE=3 SV=1	64	9.06
Q8L829	Probable E3 ubiquitin-protein ligase ARI5 OS=Arabidopsis thaliana OX=3702 GN=ARI5 PE=2 SV=1	62.4	5.26
Q7XYW9	Exocyst subunit Exo70 family protein OS=Arabidopsis thaliana OX=3702 GN=EXO70-G1 PE=1 SV=1	77.6	8.41
F4KDD7	KIN17-like protein KLP OS=Arabidopsis thaliana OX=3702 GN=KLP PE=3 SV=1	40.1	6.19
Q9ASR4	Branched-chain-amino-acid aminotransferase-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=At5g27410 PE=2 SV=1	62.9	6.39
Q8VYT3	Probable LRR receptor-like serine/threonine-protein kinase At4g30520 OS=Arabidopsis thaliana OX=3702 GN=At4g30520 PE=1 SV=1	71.1	7.27
Q93YQ5	RING/U-box superfamily protein OS=Arabidopsis thaliana OX=3702 GN=T20K12.80 PE=1 SV=1	42.5	5.11
Q84K41	Nucleic acid binding/RNA binding protein OS=Arabidopsis thaliana OX=3702 GN=At2g02570 PE=1 SV=1	33.5	5.55
P42804	Glutamyl-tRNA reductase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HEMA1 PE=1 SV=2	59.5	7.84
Q94K97	30S ribosomal protein OS=Arabidopsis thaliana OX=3702 GN=At5g24490 PE=1 SV=1	34.8	6.76
Q8VY17	DNA-binding bromodomain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At5g55040 PE=1 SV=1	103.4	6.11
Q9XEB5	Autophagy-related protein 8b OS=Arabidopsis thaliana OX=3702 GN=ATG8B PE=1 SV=1	13.9	8.57
Q9ZPR2	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At2g03640 PE=1 SV=1	46.2	8.91
F4JJL3	Endonuclease 5 OS=Arabidopsis thaliana OX=3702 GN=ENDO5 PE=1 SV=1	33.6	7.09
Q8VYD2	GLABROUS1 enhancer-binding protein-like 1 OS=Arabidopsis thaliana OX=3702 GN=GPL1 PE=1 SV=1	43.3	4.97
Q9XIB3	At1g49470 OS=Arabidopsis thaliana OX=3702 GN=At1g49470 PE=1 SV=1	33.6	7.46
Q9SLH7	Peroxidase 20 OS=Arabidopsis thaliana OX=3702 GN=PER20 PE=2 SV=1	38	5.45
Q84TD8	Protein FLX-like 2 OS=Arabidopsis thaliana OX=3702 GN=FLXL2 PE=1 SV=1	39.7	7.44
Q9LS19	Protein DETOXIFICATION 30 OS=Arabidopsis thaliana OX=3702 GN=DTX30 PE=2 SV=1	53.6	5.17
F4JEH8	Histone H2A deubiquitinase (DUF3755) OS=Arabidopsis thaliana OX=3702 GN=At3g07565 PE=1 SV=1	28.1	8.65
Q9XIM7	Cold-regulated 413 plasma membrane protein 1 OS=Arabidopsis thaliana OX=3702 GN=COR413PM1 PE=2 SV=1	21.6	8.95
F4JZ68	Kinesin-like protein KIN-7H OS=Arabidopsis thaliana OX=3702 GN=KIN7H PE=2 SV=1	121.3	5.73
Q8L9X1	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g20060 PE=1 SV=1	26.7	6.62
Q9LMM6	Protein BPS1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BPS1 PE=2 SV=1	38.6	8.85
A8MQP0	Serine carboxypeptidase-like 11 OS=Arabidopsis thaliana OX=3702 GN=SCPL11 PE=1 SV=1	50.4	6.83
Q8VY21	Tubby-like F-box protein 3 OS=Arabidopsis thaliana OX=3702 GN=TULP3 PE=1 SV=1	45.3	9.38
A0A1P8BD04	SITE-1 protease OS=Arabidopsis thaliana OX=3702 GN=S1P PE=1 SV=1	89.5	6.4
F4I1T7	Nuclear pore complex protein NUP214 OS=Arabidopsis thaliana OX=3702 GN=NUP214 PE=1 SV=1	192.8	5.57
O81242	DNA-binding protein RHL1 OS=Arabidopsis thaliana OX=3702 GN=RHL1 PE=1 SV=1	38.9	7.4
A0A1P8AWE2	Major facilitator superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g54730 PE=1 SV=1	44.5	5.2
Q9FZ82	F25I16.5 protein OS=Arabidopsis thaliana OX=3702 GN=At1g18610 PE=1 SV=1	60.8	6.37
A0A1P8B6W3	Monogalactosyldiacylglycerol synthase OS=Arabidopsis thaliana OX=3702 GN=MGD1 PE=1 SV=1	61.6	9.17
Q93YW7	Cardiolipin synthase (CMP-forming), mitochondrial OS=Arabidopsis thaliana OX=3702 GN=CLS PE=1 SV=1	38	10.14
Q9SR23	Pectin acetylesterase 4 OS=Arabidopsis thaliana OX=3702 GN=PAE4 PE=3 SV=1	45.7	6.77
Q8W4G3	Protein DETOXIFICATION 46, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=DTX46 PE=2 SV=1	60	7.94
Q9SRN1	NDR1/HIN1-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=NHL2 PE=2 SV=1	26.7	8.85
F4JXF1	Protein GAMETOPHYTE DEFECTIVE 1 OS=Arabidopsis thaliana OX=3702 GN=GAF1 PE=1 SV=1	64	6.04
Q9XIQ5	UDP-glycosyltransferase 79B10 OS=Arabidopsis thaliana OX=3702 GN=UGT79B10 PE=2 SV=1	50.4	6.34
A0A1P8B246	Leucine-rich repeat protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=At2g23950 PE=1 SV=1	57.2	9.23
Q9AR19	Histone acetyltransferase GCN5 OS=Arabidopsis thaliana OX=3702 GN=HAG1 PE=1 SV=1	63.1	6.46
F4JJP1	WEB family protein At4g27595, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At4g27595 PE=2 SV=1	138.9	5.07
A0A1P8B5Q1	Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At4g11810 PE=1 SV=1	78.6	6.09
Q9FLZ3	SNF1-related protein kinase catalytic subunit alpha KIN12 OS=Arabidopsis thaliana OX=3702 GN=KIN12 PE=2 SV=1	56.7	7.91
Q9SU64	Probable cyclic nucleotide-gated ion channel 16 OS=Arabidopsis thaliana OX=3702 GN=CNGC16 PE=2 SV=1	81.9	8.54
F4J298	Fibronectin type III domain protein (DUF1423) OS=Arabidopsis thaliana OX=3702 GN=TTA2 PE=1 SV=1	99.7	5.77
Q9SMQ4	Serine/threonine-protein kinase SRK2F OS=Arabidopsis thaliana OX=3702 GN=SRK2F PE=1 SV=1	39.8	5
Q9LM58	BPS1-like protein OS=Arabidopsis thaliana OX=3702 GN=At1g22030 PE=1 SV=1	37.5	6.43
F4JWQ4	Ubiquitin-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g25270 PE=1 SV=2	67.4	5.44
Q9LZ25	Probable disease resistance protein At5g04720 OS=Arabidopsis thaliana OX=3702 GN=At5g04720 PE=2 SV=1	91.5	7.06
Q39013	NAC domain-containing protein 2 OS=Arabidopsis thaliana OX=3702 GN=NAC002 PE=1 SV=2	32.9	6.57
Q84VX3	Aberrant root formation protein 4 OS=Arabidopsis thaliana OX=3702 GN=ALF4 PE=1 SV=2	69.1	4.86
Q9FFG6	AT5g05480/MOP10_2 OS=Arabidopsis thaliana OX=3702 GN=MOP10.2 PE=1 SV=1	68.4	5.58
Q0WPN8	Plasmodesmata-located protein 7 OS=Arabidopsis thaliana OX=3702 GN=PDLP7 PE=1 SV=1	31.6	7.66
A0A1I9LNC2	KRR1 family protein OS=Arabidopsis thaliana OX=3702 GN=At3g24080 PE=1 SV=1	73.9	4.87
Q8VXZ2	Heat-inducible transcription repressor (DUF639) OS=Arabidopsis thaliana OX=3702 GN=At1g48840 PE=1 SV=1	77.4	7.68
Q8H1F7	Isopentenyl phosphate kinase OS=Arabidopsis thaliana OX=3702 GN=IPK PE=1 SV=1	35.7	6.1
Q8VZ20	Trihelix transcription factor ASR3 OS=Arabidopsis thaliana OX=3702 GN=ASR3 PE=1 SV=1	34.8	6.25
Q9LZM6	At5g02050 OS=Arabidopsis thaliana OX=3702 GN=At5g02050 PE=1 SV=1	29.7	4.45
P0CE10	ATP-dependent RNA helicase DEAH11, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At4g01020 PE=3 SV=1	202	6.98
Q84W91	Zinc finger CCCH domain-containing protein 32 OS=Arabidopsis thaliana OX=3702 GN=At2g47850 PE=2 SV=2	50	8.73
Q9FE98	Tryptophan aminotransferase-related protein 3 OS=Arabidopsis thaliana OX=3702 GN=TAR3 PE=3 SV=1	51.6	8.02
A0A1P8AZG6	Histone-lysine N-methyltransferase SUVR5 OS=Arabidopsis thaliana OX=3702 GN=SUVR5 PE=1 SV=1	148.4	6.89
A5PHT0	Uncharacterized protein At1g24485 OS=Arabidopsis thaliana OX=3702 GN=RWK1 PE=2 SV=2	53	4.94
Q9SL29	Putative cyclic nucleotide-gated ion channel 15 OS=Arabidopsis thaliana OX=3702 GN=CNGC15 PE=3 SV=1	78.7	9.57
Q9FIF1	Probable L-type lectin-domain containing receptor kinase II.1 OS=Arabidopsis thaliana OX=3702 GN=LECRK21 PE=2 SV=1	74.4	8.34
Q94K00	Protein trichome birefringence-like 28 OS=Arabidopsis thaliana OX=3702 GN=TBL28 PE=2 SV=1	49.4	6.05
P0CW98	Protein PLANT CADMIUM RESISTANCE 9 OS=Arabidopsis thaliana OX=3702 GN=PCR9 PE=3 SV=1	16.2	6.15
Q8RY65	Protein NSP-INTERACTING KINASE 2 OS=Arabidopsis thaliana OX=3702 GN=NIK2 PE=1 SV=1	70.6	8.18
P25856	Glyceraldehyde-3-phosphate dehydrogenase GAPA1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GAPA1 PE=1 SV=3	42.5	7.75
Q9SIV9	Purple acid phosphatase 10 OS=Arabidopsis thaliana OX=3702 GN=PAP10 PE=2 SV=1	54.2	7.62
Q0WWW9	D-xylose-proton symporter-like 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At5g59250 PE=1 SV=2	59.8	8.88
P92533	NADH-ubiquinone oxidoreductase chain 3 OS=Arabidopsis thaliana OX=3702 GN=ND3 PE=1 SV=2	13.9	4.56
O65422	Organic solute transporter ostalpha protein (DUF300) OS=Arabidopsis thaliana OX=3702 GN=F18E5.190 PE=1 SV=1	34	8.92
Q494Q0	At3g06170 OS=Arabidopsis thaliana OX=3702 GN=At3g06170 PE=1 SV=1	44.8	6.99
Q9LHJ3	Cysteine-rich/transmembrane domain PCC1-like protein OS=Arabidopsis thaliana OX=3702 GN=At3g22240 PE=1 SV=1	7.5	5.17
A0A1I9LRU3	Folylpoly-gamma-glutamate synthetase OS=Arabidopsis thaliana OX=3702 GN=DFD PE=1 SV=1	48.6	7.81
A0A1I9LTQ7	Selenium-binding protein 3 OS=Arabidopsis thaliana OX=3702 GN=SBP3 PE=1 SV=1	50.1	5.19
F4K9W6	ZPR1 zinc-finger domain protein OS=Arabidopsis thaliana OX=3702 GN=MQJ16.2 PE=1 SV=1	54	4.72
O49397	Two-component response regulator ARR10 OS=Arabidopsis thaliana OX=3702 GN=ARR10 PE=1 SV=1	61.6	6.28
Q9SIY8	Laccase-5 OS=Arabidopsis thaliana OX=3702 GN=LAC5 PE=2 SV=1	64.1	8.81
F4IMR9	VACUOLAR SORTING RECEPTOR 2 OS=Arabidopsis thaliana OX=3702 GN=VSR2 PE=1 SV=1	71.7	6.93
A0A1P8B9D5	Phototropic-responsive NPH3 family protein OS=Arabidopsis thaliana OX=3702 GN=At5g66560 PE=1 SV=1	70.1	5.62
A0A1P8AMM7	Secretory 1A OS=Arabidopsis thaliana OX=3702 GN=SEC1A PE=1 SV=1	79.7	7.96
Q8LG56	At1g05205 OS=Arabidopsis thaliana OX=3702 GN=At1g05205 PE=1 SV=1	10.7	7.3
Q9SF47	Phosphatidate phosphatase PAH1 OS=Arabidopsis thaliana OX=3702 GN=PAH1 PE=1 SV=1	100.9	4.6
O80846	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 OS=Arabidopsis thaliana OX=3702 GN=At2g45730 PE=1 SV=1	49.4	6.6
Q9ZPQ8	ACT domain-containing protein ACR5 OS=Arabidopsis thaliana OX=3702 GN=ACR5 PE=2 SV=2	51.1	5.72
Q9LH39	Probable polyamine transporter At3g19553 OS=Arabidopsis thaliana OX=3702 GN=At3g19553 PE=3 SV=1	52.8	5.43
F4K5W3	Protein prenylyltransferase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MJG14.18 PE=1 SV=1	99.2	6.11
Q9LIM8	Powdery mildew resistance protein, RPW8 domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At3g26470 PE=4 SV=1	25.3	7.53
Q0WRB2	Probable protein phosphatase 2C 73 OS=Arabidopsis thaliana OX=3702 GN=PPC6-7 PE=2 SV=1	41.6	7.27
Q93ZX4	CwfJ-like family protein OS=Arabidopsis thaliana OX=3702 GN=At1g56290 PE=1 SV=1	79.1	8.53
Q9FPH3	Probable low-specificity L-threonine aldolase 2 OS=Arabidopsis thaliana OX=3702 GN=THA2 PE=1 SV=1	38.2	6.47
Q38893	Zeta-carotene desaturase, chloroplastic/chromoplastic OS=Arabidopsis thaliana OX=3702 GN=ZDS1 PE=1 SV=3	61.6	7.37
P62126	30S ribosomal protein S12, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=rps12-A PE=2 SV=2	13.8	11.58
Q9C9G6	Protein AE7 OS=Arabidopsis thaliana OX=3702 GN=AE7 PE=1 SV=2	17.8	4.74
Q9FWW5	WEB family protein At1g12150 OS=Arabidopsis thaliana OX=3702 GN=At1g12150 PE=2 SV=1	62.6	5.43
Q9FNH5	At5g06330 OS=Arabidopsis thaliana OX=3702 GN=MHF15.15 PE=2 SV=1	23.1	8.9
Q9SJL4	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g36930 PE=1 SV=2	22.6	9.5
Q9XIC5	NAC domain-containing protein 17 OS=Arabidopsis thaliana OX=3702 GN=NAC017 PE=2 SV=1	62.5	4.96
A0A1P8BA46	Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=MQK4.27 PE=1 SV=1	50.5	8.69
Q3E7C8	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At1g77885 PE=2 SV=1	8.4	9.99
F4J7Q0	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein OS=Arabidopsis thaliana OX=3702 GN=At3g24570 PE=1 SV=1	25.5	9.61
Q9SV64	Oleoyl-acyl carrier protein thioesterase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FATA2 PE=2 SV=1	42.2	8.18
Q1EBV6	BTB/POZ and MATH domain-containing protein 5 OS=Arabidopsis thaliana OX=3702 GN=BPM5 PE=1 SV=1	45.2	6.6
Q9SB00	Deoxyribodipyrimidine photo-lyase OS=Arabidopsis thaliana OX=3702 GN=PHR1 PE=2 SV=1	57	8.9
Q9SZG2	At4g37700 OS=Arabidopsis thaliana OX=3702 GN=F19F18.190 PE=1 SV=1	16.5	10.32
Q680P8	40S ribosomal protein S29 OS=Arabidopsis thaliana OX=3702 GN=RPS29A PE=3 SV=2	6.4	10.02
Q9SF32	Protein IQ-DOMAIN 1 OS=Arabidopsis thaliana OX=3702 GN=IQD1 PE=1 SV=1	50.5	10.36
Q9T0F9	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g10010 PE=1 SV=1	72.2	9.35
Q9LNN0	F8L10.9 protein OS=Arabidopsis thaliana OX=3702 GN=At1g53050 PE=1 SV=1	77.5	9.58
Q8LDQ4	PP2A regulatory subunit TAP46 OS=Arabidopsis thaliana OX=3702 GN=TAP46 PE=1 SV=2	45.6	5.01
Q84TF0	Aldo-keto reductase family 4 member C10 OS=Arabidopsis thaliana OX=3702 GN=AKR4C10 PE=1 SV=1	34.9	6.65
F4I8Q7	Vacuole membrane protein KMS2 OS=Arabidopsis thaliana OX=3702 GN=KMS2 PE=1 SV=1	46.6	8.82
Q9SJ20	Ribonucleoside-diphosphate reductase large subunit OS=Arabidopsis thaliana OX=3702 GN=RNR1 PE=1 SV=1	91.8	6.7
Q940F4	AT4G15010 protein OS=Arabidopsis thaliana OX=3702 GN=At4g15010 PE=1 SV=1	41	9.89
Q93Z82	At1g31300/T19E23_12 OS=Arabidopsis thaliana OX=3702 GN=At1g31300 PE=1 SV=1	31.9	9.25
Q9LVE6	Senescence/dehydration-associated protein-like protein OS=Arabidopsis thaliana OX=3702 GN=At3g21600 PE=1 SV=1	40.4	8.88
Q8S9J3	At2g32760 OS=Arabidopsis thaliana OX=3702 GN=At2g32755 PE=1 SV=1	39.9	8.43
Q9FJ57	Protein TORNADO 1 OS=Arabidopsis thaliana OX=3702 GN=TRN1 PE=2 SV=1	156.8	7.47
Q94K88	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=AP22.13 PE=1 SV=1	52.2	4.39
A0A1P8B7D5	Leucine-rich repeat transmembrane protein kinase protein OS=Arabidopsis thaliana OX=3702 GN=At4g29990 PE=4 SV=1	82.7	7.12
Q9SIR9	Serpin-Z10 OS=Arabidopsis thaliana OX=3702 GN=At2g25240 PE=2 SV=1	42.7	5.47
Q9ZVX3	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g16900 PE=1 SV=2	42.5	5.59
Q0WPE9	Nucleobase-ascorbate transporter 7 OS=Arabidopsis thaliana OX=3702 GN=NAT7 PE=2 SV=2	58.5	9.45
Q9M338	Aldo-keto reductase family 4 member C11 OS=Arabidopsis thaliana OX=3702 GN=AKR4C11 PE=1 SV=1	35	6.95
Q8RYC8	Auxin response factor 19 OS=Arabidopsis thaliana OX=3702 GN=ARF19 PE=1 SV=2	120.5	6.68
A0A1P8ARJ2	Evolutionarily conserved C-terminal region 8 OS=Arabidopsis thaliana OX=3702 GN=ECT8 PE=1 SV=1	57.7	6.39
Q8GWQ6	UPF0235 protein At5g63440 OS=Arabidopsis thaliana OX=3702 GN=At5g63440 PE=1 SV=1	25.7	6.9
Q8L7Z0	Cyclic nucleotide-gated ion channel 17 OS=Arabidopsis thaliana OX=3702 GN=CNGC17 PE=1 SV=1	83.3	8.53
Q9ZU48	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=PDE331 PE=1 SV=2	77.3	6.05
F4I4Q9	Calcyclin-binding protein OS=Arabidopsis thaliana OX=3702 GN=At1g30070 PE=1 SV=1	25.7	8.54
O65522	Exostosin family protein OS=Arabidopsis thaliana OX=3702 GN=At4g32790 PE=1 SV=1	68.6	8.37
Q949S4	RNA-binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=At1g14340 PE=1 SV=1	26.4	5.6
Q9FFW6	Jacalin-related lectin 44 OS=Arabidopsis thaliana OX=3702 GN=JAL44 PE=2 SV=1	66.4	7.49
Q9ZRA2	Homogentisate 1,2-dioxygenase OS=Arabidopsis thaliana OX=3702 GN=HGO PE=2 SV=2	51.4	6.18
P93017	Dormancy-associated protein homolog 1 OS=Arabidopsis thaliana OX=3702 GN=DRMH1 PE=1 SV=1	11.6	9.7
F4J3E9	Guanylate kinase OS=Arabidopsis thaliana OX=3702 GN=AGK2 PE=1 SV=1	42.6	8.05
Q9SQV0	Very-long-chain 3-oxoacyl-CoA synthase OS=Arabidopsis thaliana OX=3702 GN=At3g06470 PE=1 SV=1	31.3	9
A0A178UA07	Pectinesterase OS=Arabidopsis thaliana OX=3702 GN=At5g09760 PE=1 SV=1	63.5	7.09
Q8VYE5	Glucan endo-1,3-beta-glucosidase 12 OS=Arabidopsis thaliana OX=3702 GN=At4g29360 PE=2 SV=1	57.6	5.14
Q9M120	Polyketide cyclase / dehydrase and lipid transport protein OS=Arabidopsis thaliana OX=3702 GN=At4g01650 PE=1 SV=1	32.6	5.62
Q9FFL0	At5g05640 OS=Arabidopsis thaliana OX=3702 GN=MJJ3.3 PE=1 SV=1	36.1	8.25
F4I233	Leucine-rich repeat protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=At1g63430 PE=1 SV=1	76.7	7.28
Q9LSN7	Transcription factor bHLH147 OS=Arabidopsis thaliana OX=3702 GN=BHLH147 PE=1 SV=1	25.3	11.6
Q9FNZ2	Zinc finger CCCH domain-containing protein 48 OS=Arabidopsis thaliana OX=3702 GN=ZFWD1 PE=2 SV=1	46.6	7.33
Q9SQT5	At3g06320 OS=Arabidopsis thaliana OX=3702 GN=At3g06320 PE=1 SV=1	7	10.64
F4IWH3	Transcriptional regulator ATRX-like protein OS=Arabidopsis thaliana OX=3702 GN=At3g27350 PE=1 SV=1	32.3	7.99
C0LGQ5	LRR receptor-like serine/threonine-protein kinase GSO1 OS=Arabidopsis thaliana OX=3702 GN=GSO1 PE=1 SV=1	137.2	5.69
Q9C5E8	Succinate dehydrogenase subunit 7A, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SDH7A PE=1 SV=1	10.3	10.27
Q67YS6	Putative ALA-interacting subunit 2 OS=Arabidopsis thaliana OX=3702 GN=ALIS2 PE=2 SV=1	39.5	9.29
O64380	Polyadenylate-binding protein 3 OS=Arabidopsis thaliana OX=3702 GN=PAB3 PE=2 SV=1	72.8	8.63
Q9FII7	Structural maintenance of chromosomes protein 6B OS=Arabidopsis thaliana OX=3702 GN=SMC6B PE=2 SV=1	121.7	8.02
O80800	Acyl carrier protein 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MTACP2 PE=1 SV=1	14.2	5.01
Q9STG6	Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Arabidopsis thaliana OX=3702 GN=DUT PE=1 SV=1	17.5	5.6
Q9LY37	Cupredoxin superfamily protein OS=Arabidopsis thaliana OX=3702 GN=F27H5_60 PE=4 SV=1	19.4	5.81
Q8GY60	Probable protein phosphatase 2C 52 OS=Arabidopsis thaliana OX=3702 GN=At4g03415 PE=1 SV=1	51.8	6.06
Q1PET6	Probable isoprenylcysteine alpha-carbonyl methylesterase ICMEL2 OS=Arabidopsis thaliana OX=3702 GN=ICMEL2 PE=2 SV=1	47	7.8
Q8LGC6	Nascent polypeptide-associated complex subunit alpha-like protein 5 OS=Arabidopsis thaliana OX=3702 GN=At1g33040 PE=2 SV=2	22.8	4.42
Q9M9F1	Glutathione S-transferase U23 OS=Arabidopsis thaliana OX=3702 GN=GSTU23 PE=1 SV=1	25.7	5.29
Q9SUP0	CASP-like protein 1B2 OS=Arabidopsis thaliana OX=3702 GN=At4g20390 PE=2 SV=1	21.1	10.21
A0A1P8BBC1	Beta-amylase OS=Arabidopsis thaliana OX=3702 GN=BMY2 PE=1 SV=1	79	6.38
Q8S8D2	Ribosomal protein L1p/L10e family OS=Arabidopsis thaliana OX=3702 GN=At2g42650 PE=1 SV=1	41.7	9.26
Q9FJJ1	Microtubule-associated futsch-like protein OS=Arabidopsis thaliana OX=3702 GN=At5g62550 PE=1 SV=1	53.4	9
O04529	Metalloendoproteinase 2-MMP OS=Arabidopsis thaliana OX=3702 GN=2MMP PE=1 SV=1	42	6.23
F4JCX1	Lactase OS=Arabidopsis thaliana OX=3702 GN=At3g54440 PE=1 SV=1	126.7	5.77
A8MRX0	Flavin-containing monooxygenase FMO GS-OX5 OS=Arabidopsis thaliana OX=3702 GN=FMOGS-OX5 PE=1 SV=2	52.1	6.19
F4K964	E3 ubiquitin ligase OS=Arabidopsis thaliana OX=3702 GN=At5g57035 PE=1 SV=1	88.8	8.51
A0A1P8AMQ6	Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At1g55535 PE=1 SV=1	27.7	6.09
Q39027	Mitogen-activated protein kinase 7 OS=Arabidopsis thaliana OX=3702 GN=MPK7 PE=1 SV=2	42.3	7.3
Q9S9N5	Putative cyclic nucleotide-gated ion channel 7 OS=Arabidopsis thaliana OX=3702 GN=CNGC7 PE=3 SV=1	84.6	9.17
Q8GWB1	RING/U-box superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g19895 PE=1 SV=1	59.7	8.09
P56807	30S ribosomal protein S18, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=rps18 PE=3 SV=1	12.1	12.16
Q9LPV9	WD repeat-containing protein LWD1 OS=Arabidopsis thaliana OX=3702 GN=LWD1 PE=2 SV=1	39.1	4.96
O64651	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g45720 PE=1 SV=1	59.5	8.48
