Protein	Subcellular.location	Transmembrane	log2_rbohC	log2_rbohF	log2_WT	Protein.names
Q9LHG9	Nucleus		0	-1.91	0	Nascent polypeptide-associated complex subunit alpha-like protein 1 (NAC-alpha-like protein 1) (Alpha-NAC-like protein 1)
Q9LDI9	Cytoplasm		0	-1.77	0	At1g69250 (F4N2.20) (Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein) (Putative RNA-binding protein; 63745-61607)
Q9SSB7	Secreted, cell wall.		0	-1.83	0	Protein DUF642 L-GALACTONO-1,4-LACTONE-RESPONSIVE GENE 1 (DUF642 L-GalL-RESPONSIVE GENE 1)
Q8VYR3	Membrane; Single-pass type II membrane protein.	TRUE	0	-1.98	0	Protein trichome birefringence-like 2
O04373	Endoplasmic reticulum lumen.		0	2.19	0	IAA-amino acid hydrolase ILR1-like 4 (EC 3.5.1.-) (jasmonoyl-L-amino acid hydrolase) (EC 3.5.1.127)
Q8H1Q6	Unknown		0	1.94	0	NAD(P)-binding Rossmann-fold superfamily protein (Uncharacterized protein At4g23420)
Q9FT97	Secreted, cell wall. Secreted, extracellular space, apoplast.		0	-3.17	0	Alpha-galactosidase 1 (AtAGAL1) (EC 3.2.1.22) (Alpha-D-galactoside galactohydrolase 1) (Melibiase 1)
F4HZI6	Nucleus		0	1.47	0	Protein-protein interaction regulator family protein
Q94F20	Secreted, cell wall.		0	-1.65	0	Protein DUF642 L-GALACTONO-1,4-LACTONE-RESPONSIVE GENE 2 (DUF642 L-GalL-RESPONSIVE GENE 2)
Q9FY75	Cell membrane; Multi-pass membrane protein.	TRUE	0	1.44	0	Potassium transporter 7 (AtHAK7) (AtPOT7)
Q9LIB9	Secreted, extracellular space, apoplast. Secreted, cell wall. Associated to the cell wall.		0	-2.78	0	Beta-fructofuranosidase, insoluble isoenzyme CWINV5 (EC 3.2.1.26) (Cell wall beta-fructosidase 5) (Cell wall invertase 5) (AtcwINV5) (Sucrose hydrolase 5)
Q9LFR9	Mitochondrion.		0	2.09	0	COX assembly mitochondrial protein
Q43872	Secreted.		0	-1.66	0	Peroxidase 64 (Atperox P64) (EC 1.11.1.7) (ATP17a) (PRXR4)
Q9XI29	Nucleus		0	2.13	0	Uncharacterized protein At1g15400
F4K5M5	Nucleus.		0	-1.96	0	Auxin response factor
Q9M076	Cytoplasm. May be associated with the outer membrane of mitochondria.		0	-1.47	0	ATP-dependent 6-phosphofructokinase 6 (ATP-PFK 6) (Phosphofructokinase 6) (EC 2.7.1.11) (Phosphohexokinase 6)
Q9LFS3	Membrane; Multi-pass membrane protein.	TRUE	0	2.23	0	3-oxo-5-alpha-steroid 4-dehydrogenase family protein (AT5g16010/F1N13_150) (Steroid 5alpha-reductase-like protein)
Q9FLW0	Membrane; Single-pass type I membrane protein.	TRUE	0	2.03	0	Probable receptor-like protein kinase At5g24010 (EC 2.7.11.-)
A0A1P8AUH4	Nucleus		0	3.19	0	Zinc finger C-x8-C-x5-C-x3-H type family protein
Q9FIA1	Secreted.		0	-1.73	0	GDSL esterase/lipase At5g55050 (EC 3.1.1.-) (Extracellular lipase At5g55050)
Q1ECK2	Unknown		0	-2.79	0	At5g64650 (Ribosomal protein L17 family protein)
P57750	Chloroplast		0	-2.87	0	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (DNA-damage-repair/toleration protein DRT101) (N-acetylglucosamine-phosphate mutase)
Q9LV52	Nucleus.		0	2.92	0	Heat stress transcription factor C-1 (AtHsfC1) (AtHsf-08)
Q39034	Secreted.		0	1.45	0	Peroxidase 59 (Atperox P59) (EC 1.11.1.7) (ATPN) (Peroxidase N)
F4K0J3	Nucleus		0	2.01	0	Kinesin-like protein KIN-4C (AtKINESIN-4C)
Q9FZJ1	Golgi apparatus membrane; Single-pass type II membrane protein.	TRUE	0	-2.68	0	Probable beta-1,4-xylosyltransferase IRX10 (EC 2.4.2.-) (Glucuronoxylan glucuronosyltransferase 1) (AtGUT1) (Glucuronoxylan glucuronosyltransferase 2) (Protein IRREGULAR XYLEM 10) (Xylan xylosyltransferase IRX10)
A0A1P8AXP2	Unknown		0	1.81	0	Myosin-like protein XIF
O23593	Nucleus. Cytoplasm, perinuclear region.		0	-1.55	0	RGG repeats nuclear RNA binding protein B
Q9SRV5	Cytoplasm, cytosol.		0	-1.35	0	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 2 (EC 2.1.1.14) (Cobalamin-independent methionine synthase 2) (AtMS2)
Q9M123	Nucleus.		0	-2.26	0	DNA-directed RNA polymerase III subunit
Q9FMA0	Secreted, cell wall. Membrane; Peripheral membrane protein.		0	-0.98	0	Expansin-A14 (AtEXPA14) (Alpha-expansin-14) (At-EXP14) (AtEx14) (Ath-ExpAlpha-1.5)
Q1ECF5	Cytoplasm, cytoskeleton.		0	-1.77	0	LIM domain-containing protein PLIM2b (Pollen-expressed LIM protein 2B)
F4HWL3	Cell membrane; Single-pass type I membrane protein.	TRUE	0	1.21	0	Receptor-like protein 4 (AtRLP4)
Q9LVE2	Cytoplasm, cytosol. Mitochondrion.		0	-2.35	0	Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' zeta isoform (AtB' zeta) (PP2A, B' subunit, zeta isoform)
Q0WLY0	Nucleus		0	-2.07	0	KH domain-containing protein (Putative single-strand nucleic acid-binding protein)
P60300	Membrane; Multi-pass membrane protein.	TRUE	0	-2.81	0	Putative chloride channel-like protein CLC-g (CBS domain-containing protein CBSCLC6)
Q9FG91	Unknown		0	-2.32	0	Probable disease resistance protein At5g43730
F4JD91	Chloroplast		0	-1.86	0	NHL domain-containing protein
F4IXH3	Cell_membrane		0	-1.85	0	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Q8GWR0	Mitochondrion inner membrane; Single-pass membrane protein; Intermembrane side.	TRUE	0	1.88	0	Cytochrome c oxidase assembly protein COX11, mitochondrial
Q9ZQH0	Peroxisome.		0	1.37	0	Dephospho-CoA kinase (EC 2.7.1.24) (AtCoaE) (Dephosphocoenzyme A kinase)
Q9SAC9	Golgi apparatus. Cytoplasmic vesicle, clathrin-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side.		0	1.32	0	AP-1 complex subunit mu-1 (Adaptor protein complex AP-1 subunit mu-1) (Adaptor protein-1 mu-adaptin 1) (Adaptor-related protein complex 1 subunit mu-1) (At-muB1-Ad) (Clathrin assembly protein complex 1 mu-1 medium chain) (Mu1-adaptin 1)
Q9LMM1	Membrane; Single-pass membrane protein.	TRUE	0	2.48	0	Cytochrome P450 86A4 (EC 1.14.14.1)
Q8LAH7	Cytoplasm.		0	2.05	0	12-oxophytodienoate reductase 1 (EC 1.3.1.42) (12-oxophytodienoate-10,11-reductase 1) (AtOPR1) (OPDA-reductase 1) (FS-AT-I)
Q8GWA5	Cytoplasm, cytoskeleton.		0	-2.02	0	Actin family protein
Q8LBL1	Vacuole membrane; Multi-pass membrane protein. Tonoplast.	TRUE	0	2.34	0	Two-pore potassium channel 1 (AtTPK1) (Calcium-activated outward-rectifying potassium channel 1) (AtKCO1)
Q9XIW1	Secreted, cell wall. Secreted, extracellular space, apoplast.		0	-1.68	0	Probable xyloglucan endotransglucosylase/hydrolase protein 5 (At-XTH5) (XTH-5) (EC 2.4.1.207)
P47735	Cell membrane; Single-pass type I membrane protein.	TRUE	0	2.52	0	Receptor-like protein kinase 5 (EC 2.7.10.1) (EC 2.7.11.1) (Protein HAESA)
Q9LH50	Cytoplasmic vesicle membrane; Lipid-anchor. Associated with membrane compartments that localize to the tips of growing pollen tubes.		0	3	0	Ras-related protein RABA4d (AtRABA4d)
Q9S7U7	Unknown		0	1.89	0	Alpha/beta-Hydrolases superfamily protein (At3g01690) (F28J7.1 protein) (F4P13.23 protein) (Uncharacterized protein At3g01690)
Q9T0K0	Membrane; Single-pass membrane protein.	TRUE	0	1.3	0	Cytochrome P450 71A19 (EC 1.14.-.-)
Q84L31	Nucleus. Cytoplasm.		0	-2.39	0	Ubiquitin receptor RAD23c (AtRAD23c) (Putative DNA repair protein RAD23-3) (RAD23-like protein 3) (AtRAD23-3)
F4KDB8	Cytoplasm		0	2.53	0	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6)
Q9FWS4	Plastid, chloroplast.		0	-2.25	0	50S ribosomal protein L31, chloroplastic (CL31) (Protein EMBRYO DEFECTIVE 2184)
Q9CAX3	Cell membrane; Multi-pass membrane protein. Very restricted localization following a belt shape within the plasma membrane which coincides with the position of the Casparian strip membrane domain.	TRUE	0	-1.38	0	Casparian strip membrane protein 2 (AtCASP2)
Q8RWM9	Golgi_body	TRUE	0	2.14	0	Uncharacterized protein At5g38380 (Zinc transporter)
Q9SFF9	Secreted, extracellular space, apoplast.		0	1.74	0	Germin-like protein subfamily 1 member 7
Q8W110	Membrane; Multi-pass membrane protein.	TRUE	0	1.42	0	Ferric reduction oxidase 4 (AtFRO4) (EC 1.16.1.7) (Ferric-chelate reductase 4)
Q9LZ25	Unknown		0	-1.81	0	Probable disease resistance protein At5g04720
Q9FJY1	Unknown		0	-1.07	0	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein (Similarity to pathogenesis-related protein) (Uncharacterized protein At5g66590) (Uncharacterized protein K1F13.27)
Q9FMP0	Nucleus.		0	-2.18	0	Mediator of RNA polymerase II transcription subunit 19a
F4IV99	Nucleus.		0	2.2	0	Protein CHROMATIN REMODELING 5 (AtCHR5) (EC 3.6.4.-)
F4HR96	Unknown		0	2.47	0	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)
Q9FFP8	Secreted.		0	-2.3	0	Defensin-like protein 6 (Low-molecular-weight cysteine-rich protein 74) (Protein LCR74) (Plant defensin 2.5)
Q8L6X7	Unknown	TRUE	0	2.07	0	At4g22290 (Ubiquitin-specific protease family C19-related protein)
F4IBK9	Unknown	TRUE	0	1.48	0	Microsomal glutathione s-transferase
A0A1P8B2C7	Cytoplasm		0	2.33	0	60S acidic ribosomal protein family
P42804	Plastid, chloroplast membrane.		0	-1.93	0	Glutamyl-tRNA reductase 1, chloroplastic (GluTR) (EC 1.2.1.70)
Q2V3L3	Nucleus.		0	2.27	0	Zinc finger transcription factor YY1 (Protein YIN YANG 1) (AtYY1)
Q9LU46	Nucleus		0	-1.25	0	DEAD-box ATP-dependent RNA helicase 35 (EC 3.6.4.13)
Q9SU64	Cell membrane; Multi-pass membrane protein.	TRUE	0	2.41	0	Probable cyclic nucleotide-gated ion channel 16 (Cyclic nucleotide- and calmodulin-regulated ion channel 16)
Q8W4D0	Nucleus.		0	-0.98	0	Peptidyl-prolyl cis-trans isomerase CYP71 (PPIase CYP71) (EC 5.2.1.8) (Cyclophilin of 71 kDa) (Cyclophilin-71) (AtCYP71)
P56764	Plastid, chloroplast.		0	1.21	0	DNA-directed RNA polymerase subunit beta'' (EC 2.7.7.6) (PEP) (Plastid-encoded RNA polymerase subunit beta'') (RNA polymerase subunit beta'')
Q8RY60	Membrane; Multi-pass membrane protein.	TRUE	0	1.58	0	DUF21 domain-containing protein At1g47330 (CBS domain-containing protein CBSDUF7)
Q8RXF2	Nucleus		0	-2.9	0	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Q8GUH1	Nucleus		0	-2.38	0	U-box domain-containing protein 33 (Plant U-box protein 33) [Includes: E3 ubiquitin ligase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase); Serine/threonine-protein kinase (EC 2.7.11.-)]
B9DH36	Cytoplasm		0	1.95	0	GDP-L-fucose synthase (EC 1.1.1.271)
A0A1P8AV11	Nucleus	TRUE	0	2.32	0	Trimethylguanosine synthase (DUF707)
Q9SFF6	Secreted, cell wall.		0	-1.01	0	Pectin acetylesterase 12 (EC 3.1.1.-)
A0A1P8BD18	Nucleus		0	-1.52	0	rRNA processing protein-like protein
Q8W103	Nucleus.		0	-1.03	0	Protein CHROMATIN REMODELING 24 (AtCHR24) (EC 3.6.4.-) (DNA excision repair protein CHR24)
F4IBR2	Nucleus		0	2.67	0	Nucleolar pre-ribosomal-associated protein
Q8LBU2	Cytoplasm		0	-1.2	0	Probable glutathione peroxidase 8 (EC 1.11.1.9)
Q9FJ32	Extracellular		0	-1.84	0	Geranylgeranyl transferase type-2 subunit alpha 2 (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit alpha 2) (Rab geranylgeranyl transferase alpha subunit 2) (AtRGTA2) (Rab-GGT alpha 2)
P10795	Plastid, chloroplast membrane; Peripheral membrane protein. Plastid, chloroplast stroma.		0	-1.73	0	Ribulose bisphosphate carboxylase small subunit 1A, chloroplastic (RuBisCO small subunit 1A)
A0A1P8AYN1	Chloroplast	TRUE	0	2.23	0	Cytochrome P450, family 79, subfamily B, polypeptide 3
F4HZE0	Chloroplast		0	2.97	0	ATP-dependent Clp protease proteolytic subunit
Q9FKT4	Nucleus.		0	-2.18	0	KH domain-containing protein At5g56140 (Quaking-like protein 2)
Q93V74	Secreted, extracellular space, extracellular matrix.		0	1.35	0	Cyclase-like protein 1
O82656	Cytoplasm, cytosol. Nucleus.		0	-1.08	0	Protein-tyrosine-phosphatase PTP1 (EC 3.1.3.48) (Protein tyrosine phosphatase 1) (AtPTP1)
Q9SR71	Nucleus.		0	-2.53	0	Transcription initiation factor TFIID subunit 12 (TBP-associated factor 12) (AtTAF12)
A0A1P8B5L5	Extracellular		0	2.37	0	Cytochrome P450, family 702, subfamily A, polypeptide 2
Q9CA57	Cytoplasm, cytosol.		0	2.04	0	Glutathione S-transferase U10 (AtGSTU10) (EC 2.5.1.18) (GST class-tau member 10)
F4JD14	Nucleus, Chloroplast		0	-1.97	0	BEACH domain-containing protein C1 (BEACH-domain homolog C1)
A0A1P8BAN2	Secreted, extracellular space, apoplast.		0	1.82	0	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase)
Q94K73	Plastid, chloroplast stroma. Mitochondrion matrix.		0	2.14	0	Phenylalanine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)
Q0WQH3	Nucleus		0	1.32	0	Actin cross-linking protein (At1g27100) (Uncharacterized protein At1g27100)
Q38893	Plastid, chloroplast. Plastid, chromoplast.		0	2.04	0	Zeta-carotene desaturase, chloroplastic/chromoplastic (EC 1.3.5.6) (9,9'-di-cis-zeta-carotene desaturase) (Carotene 7,8-desaturase) (Protein CHLOROPLAST BIOGENESIS 5) (Protein PIGMENT DEFECTIVE 181) (Protein SPONTANEOUS CELL DEATH 1)
Q84MC9	Endoplasmic reticulum membrane; Multi-pass membrane protein. Membrane; Multi-pass membrane protein.	TRUE	0	1.67	0	At4g40042 (Microsomal signal peptidase 12 kDa subunit (SPC12))
A0A1P8B6F8	Unknown		0	-1.68	0	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)
F4JSQ2	Membrane; Multi-pass membrane protein.	TRUE	0	2.35	0	UDP-N-acetylglucosamine (UAA) transporter family
Q6BDA0	Nucleus.		0	-2.01	0	Lysine-specific demethylase ELF6 (EC 1.14.11.-) (Early flowering 6) (Jumonji domain-containing protein 11) (AtJMJ11) (Protein JUMONJI 11) (Lysine-specific histone demethylase ELF6) ([histone H3]-trimethyl-L-lysine(27) monodemethylase JMJ11)
Q96287	Nucleus		0	2.22	0	Shaggy-related protein kinase theta (EC 2.7.11.1) (ASK-theta) (Shaggy-related protein kinase 32) (AtSK32)
Q39141	Plastid, chloroplast thylakoid membrane.		0	1.58	0	Chlorophyll a-b binding protein, chloroplastic
Q9LZN2	Endoplasmic reticulum membrane; Multi-pass membrane protein.	TRUE	0	1.3	0	Protein PIN-LIKES 6 (Auxin efflux carrier-like protein 6)
Q6NLH7	Nucleus		0	-1.84	0	At5g19300 (Methyltransferase C9orf114 protein) (Uncharacterized protein At5g19300)
Q93VS6	Unknown		0	-2.29	0	At1g67870/T23K23_28 (Glycine-rich protein) (Uncharacterized protein At1g67870) (Uncharacterized protein T23K23.28)
A0A1P8AMM7	Nucleus	TRUE	0	2.57	0	Secretory 1A
F4ISN0	Nucleus		0	1.18	0	Zinc finger FYVE domain protein
A8MRY1	Nucleus		0	2.03	0	RING/U-box superfamily protein
Q8GW64	Plastid, chloroplast stroma.		0	-1.97	0	Peptidyl-tRNA hydrolase, chloroplastic (EC 3.1.1.29) (C-PTH)
Q8GUI9	Cell_membrane		0	1.16	0	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)
Q93W30	Unknown		0	-1.87	0	Expressed protein (SWIB/MDM2 domain superfamily protein) (Uncharacterized protein At2g35605) (Uncharacterized protein At2g35605/T20F21.29)
O64635	Membrane; Single-pass membrane protein.	TRUE	0	1.44	0	Cytochrome P450 76C4 (EC 1.14.-.-)
Q9SAF0	Nucleus		0	2.15	0	Oxysterol-binding protein-related protein 1D (OSBP-related protein 1D)
Q9ZUL7	Secreted.		0	-1.36	0	Defensin-like protein 1 (Low-molecular-weight cysteine-rich protein 68) (Protein LCR68) (Plant defensin 2.3)
A0A1P8B9D5	Nucleus, Chloroplast		0	2.39	0	Phototropic-responsive NPH3 family protein
F4KIZ2	Nucleus		0	2.06	0	Casein kinase II subunit beta (CK II beta)
Q9LUC6	Membrane; Single-pass membrane protein.	TRUE	0	1.24	0	Cytochrome P450 72A14 (EC 1.14.-.-)
Q9M1V2	Cytoplasm.		0	-1.83	0	Cytosolic sulfotransferase 5 (AtSOT5) (EC 2.8.2.-) (Flavonoid 7-sulfotransferase 3a) (AtST3a)
Q9SYZ0	Membrane; Single-pass membrane protein.	TRUE	0	2.51	0	3-ketoacyl-CoA synthase 16 (KCS-16) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 16) (VLCFA condensing enzyme 16)
F4K6B8	Cell membrane; Single-pass type I membrane protein.	TRUE	0	-2.43	0	Leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4 (EC 2.7.11.1) (Protein RECEPTOR OF RGF1 2) (Protein RGF1 INSENSITIVE 4) (Protein STERILITY-REGULATING KINASE MEMBER 2)
Q9M1J6	Vacuole.		0	-0.95	0	Protein STRICTOSIDINE SYNTHASE-LIKE 9 (AtSSL9) (Strictosidine synthase 6) (AtSS6)
F4I3G8	Chloroplast	TRUE	0	-1.65	0	Pyridoxal-5'-phosphate-dependent enzyme family protein
Q84K90	Nucleus		0	1.08	0	RGS1-HXK1-interacting protein 1
Q9SJ52	Cell membrane; Single-pass membrane protein.	TRUE	0	1.33	0	NDR1/HIN1-like protein 10 (AtNHL10) (Protein YELLOW-LEAF-SPECIFIC GENE 9)
Q9LK64	Membrane; Multi-pass membrane protein.	TRUE	0	1.12	0	ABC transporter C family member 3 (ABC transporter ABCC.3) (AtABCC3) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 3) (Glutathione S-conjugate-transporting ATPase 3) (Multidrug resistance-associated protein 3)
O80704	Unknown		0	-2.11	0	At1g61990/F8K4_18 (F8K4.18 protein) (Mitochondrial transcription termination factor family protein)
Q9SLK0	Peroxisome.		0	2.14	0	Peroxisomal isocitrate dehydrogenase [NADP] (EC 1.1.1.42)
F4KC69	Nucleus.		0	-1.34	0	DNA polymerase (EC 2.7.7.7)
Q9LEY1	Secreted.		0	-1.99	0	Serine carboxypeptidase-like 35 (EC 3.4.16.-)
Q8LB54	Nucleus.		0	-0.86	0	Pre-mRNA-splicing factor 38
Q9LX13	Cytoplasm.		0	0.86	0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59)
Q8L850	Membrane; Peripheral membrane protein. Nucleus.		0	2.26	0	Phosphatidylinositol 4-phosphate 5-kinase 9 (AtPIP5K9) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 9) (Diphosphoinositide kinase 9) (PtdIns(4)P-5-kinase 9)
Q96330	Cytoplasm. Nucleus.		0	-2.72	0	Flavonol synthase/flavanone 3-hydroxylase (EC 1.14.11.9) (EC 1.14.20.6) (FLS 1)
O49394	Membrane; Single-pass membrane protein.	TRUE	0	-0.97	0	Xanthotoxin 5-hydroxylase CYP82C2 (8-methoxypsoralen 5-hydroxylase CYP82C2) (EC 1.14.14.-) (Cytochrome P450 82C2) (Indole-3-carbonyl nitrile 4-hydroxylase CYP82C2) (EC 1.14.14.165)
F4JN35	Cell membrane; Single-pass membrane protein. Endoplasmic reticulum membrane; Single-pass membrane protein. Nucleus. Localized primarily in plasma membrane or endoplasmic reticulum membrane as dormant form and, upon osmotic stress or pathogen attack, is processed into a transcriptionally active and nuclear form after a proteolytic cleavage through regulated intramembrane proteolysis (RIP).	TRUE	0	2.01	0	Protein NTM1-like 9 (Calmodulin-binding NAC protein)
Q9C801	Nucleus.		0	-1.2	0	Protein MOS2
Q9LTD8	Membrane; Multi-pass membrane protein.	TRUE	0	-1.64	0	DUF21 domain-containing protein At5g52790 (CBS domain-containing protein CBSDUF5)
Q9LTT3	Nucleus.		0	-1.7	0	High mobility group B protein 10 (Nucleosome/chromatin assembly factor group D 10)
Q84P17	Peroxisome.		0	-1.34	0	Probable acyl-activating enzyme 18, peroxisomal (EC 6.2.1.-)
Q9C9U9	Extracellular		0	-1.09	0	Pathogenesis-related thaumatin superfamily protein (Thaumatin-like protein; 9376-10898)
Q66GR1	Unknown		0	-1.44	0	At5g53090 (NAD(P)-binding Rossmann-fold superfamily protein)
P21276	Cell membrane. Plastid, chloroplast membrane. Plastid, chloroplast stroma.		0	1.9	0	Superoxide dismutase [Fe] 1, chloroplastic (EC 1.15.1.1) (Protein FE SUPEROXIDE DISMUTASE 1) (FeSOD)
O80358	Nucleus.		0	1.96	0	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase FPG1) (Formamidopyrimidine-DNA glycosylase 1) (AtFPG-1) (Formamidopyrimidine-DNA glycosylase 2) (AtFPG-2) (Protein MutM homolog 1) (AtMMH-1) (Protein MutM homolog 2) (AtMMH-2)
A0A1P8AMC6	Unknown		0	1.9	0	UDP-Glycosyltransferase superfamily protein
Q8W1Y0	Nucleus. Chromosome, centromere.		0	1.28	0	Sister chromatid cohesion 1 protein 4 (AtRAD21-3) (AtRAD21.3)
P04745	Secreted.		0	-2.24	0	Alpha-amylase 1A (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase), Alpha-amylase 1B (EC 3.2.1.1), Alpha-amylase 1C (EC 3.2.1.1)
F4J3Q1	Unknown		0	2.07	0	Diphthine--ammonia ligase (EC 6.3.1.14) (Diphthamide synthase) (Diphthamide synthetase)
O49617	Unknown		0	2.27	0	AT4g35110/M4E13_160 (Phospholipase-like protein (PEARLI 4) family protein) (Uncharacterized protein At4g35110) (Uncharacterized protein M4E13.160)
Q9LVA5	Unknown		0	-1.73	0	At5g62340 (Plant invertase/pectin methylesterase inhibitor superfamily protein) (Similarity to ripening-related protein)
F4I321	Unknown		0	-1.57	0	RNA-binding (RRM/RBD/RNP motifs) family protein
Q96520	Secreted. Vacuole. Carboxy-terminal extension appears to target the protein to vacuoles.		0	1.29	0	Peroxidase 12 (Atperox P12) (EC 1.11.1.7) (ATP4a) (PRXR6)
Q39211	Nucleus.		0	1.36	0	DNA-directed RNA polymerases II, IV and V subunit 3 (DNA-directed RNA polymerase II 36 kDa polypeptide A) (DNA-directed RNA polymerase II subunit RPB3-A) (RNA polymerase II subunit 3-A) (RNA polymerase II subunit B3-A)
Q9FXB8	Unknown		0	-0.94	0	Chitinase family protein (Putative chitinase)
Q8LAS8	Cytoplasm		0	1.66	0	S-formylglutathione hydrolase (AtSFGH) (EC 3.1.2.12) (Esterase D)
F4J4N3	Secreted, extracellular space, apoplast.		0	-1.08	0	Dirigent protein 17 (AtDIR17)
F4I4K5	Endoplasmic reticulum membrane; Peripheral membrane protein. Associates with PDR2 at the ER membrane.		0	-1.68	0	Multicopper oxidase LPR1 (EC 1.-.-.-) (Protein LOW PHOSPHATE ROOT 1)
Q94A84	Nucleus. Colocalizes with SIS8 in the nucleus.		0	0	-4.05	UDP-glycosyltransferase 72E1 (EC 2.4.1.-)
P25857	Plastid, chloroplast membrane; Peripheral membrane protein. Plastid, chloroplast stroma.		0	0	5.5	Glyceraldehyde-3-phosphate dehydrogenase GAPB, chloroplastic (EC 1.2.1.13) (NADP-dependent glyceraldehydephosphate dehydrogenase B)
O64862	Cytoplasm.		0	0	-5.9	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (Cytoplasmic tRNA adenylyltransferase 1)
F4K5W3	Nucleus		0	0	6.64	Protein prenylyltransferase superfamily protein
P92979	Plastid, chloroplast.		0	0	6.64	5'-adenylylsulfate reductase 1, chloroplastic (EC 1.8.4.9) (3'-phosphoadenosine-5'-phosphosulfate reductase homolog 19) (PAPS reductase homolog 19) (Prh-19) (Adenosine 5'-phosphosulfate 5'-adenylylsulfate sulfotransferase 1) (APS sulfotransferase 1) (Thioredoxin-independent APS reductase 1)
F4IDB3	Nucleus		0	0	-6.64	COP1-interacting protein-like protein
Q6NQK0	Cytoplasm. Membrane; Peripheral membrane protein.		0	0	-6.64	TOM1-like protein 4
Q9M8K3	Unknown		0	0	-5.6	Cytochrome P450 family protein (F28L1.9 protein)
F4JHN2	Cytoplasm, cytoskeleton. Cell membrane.		0	0	5.83	Protein IQ-DOMAIN 17 (AtIQD17)
A8MRW6	Unknown		0	0	6.64	Calcium-dependent lipid-binding (CaLB domain) family protein
Q9CAD8	Chloroplast		0	0	6.64	Disease resistance protein (TIR-NBS-LRR class) family (Putative disease resistance protein; 27010-23648)
Q8W5R6	Mitochondrion.		0	0	-3.88	Kinesin-like protein KIN-7C, mitochondrial (Mitochondria-targeted kinesin-related protein 1)
Q6DST1	Membrane; Single-pass membrane protein.	TRUE	0	0	2.91	Late embryogenesis abundant protein At1g64065
A0A1P8AS27	Cell_membrane		0	0	-6.64	Ppx-GppA phosphatase
Q84MA9	Cell membrane; Single-pass type I membrane protein.	TRUE	0	0	-6.64	Inactive leucine-rich repeat receptor-like serine/threonine-protein kinase At1g60630
Q9SJP6	Golgi apparatus.		0	0	6.64	Putative fucosyltransferase 10 (AtFUT10) (EC 2.4.1.-)
Q8RWY3	Nucleus.		0	0	2.19	ISWI chromatin-remodeling complex ATPase CHR11 (EC 3.6.4.-) (ISW2-like) (Protein CHROMATIN REMODELING 11) (Sucrose nonfermenting protein 2 homolog)
F4J750	Extracellular		0	0	6.64	Eukaryotic aspartyl protease family protein
Q9SJ91	Unknown		0	0	-6.64	Cysteine/Histidine-rich C1 domain family protein (Uncharacterized protein At2g04680)
Q9FHN6	Cell membrane; Lipid-anchor, GPI-anchor.		0	0	6.64	Monocopper oxidase-like protein SKS2
Q9SW40	Chloroplast	TRUE	0	0	-6.64	Major facilitator superfamily protein (Uncharacterized protein AT4g34950) (Uncharacterized protein T11I11.190)
Q8L7U5	Nucleus.		0	0	5.51	Serine/threonine-protein phosphatase BSL1 (EC 3.1.3.16) (BSU1-like protein 1)
Q8L748	Nucleus envelope. Nucleus, nuclear pore complex.		0	0	6.64	Nuclear pore complex protein NUP107 (Nucleoporin 107)
O82330	Cytoplasm.		0	0	-6.64	Cytosolic sulfotransferase 10 (AtSOT10) (EC 2.8.2.-) (Sulfotransferase 4a) (AtST4a)
Q9M2X5	Nucleus		0	0	6.64	RuvB-like helicase (EC 3.6.4.12)
Q5XV72	Chloroplast		0	0	2.64	Caldesmon-like protein
Q8LAZ7	Cytoplasm. Nucleus.		0	0	4.64	COP9 signalosome complex subunit 5a (Signalosome subunit 5a) (EC 3.4.-.-) (Jun activation domain-binding homolog 1)
